source_pack_id,source_pack_name,row_count,proposed_pack_id,proposed_pack_name,proposed_target_phoneme_es,proposed_contrast_phoneme_es,clinical_goal,workspace_file,status
pack_s_vs_sh,Sibilants: /s/ vs /ʃ/,20,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/pack_s_vs_sh_workspace.csv,draft
pack_ch_vs_j,Voicing: /tʃ/ vs /dʒ/,20,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/pack_ch_vs_j_workspace.csv,draft
drill_pack_17,Stop Manner: /b/ vs /v/ Initial,20,pack_es_b_vs_m_initial,Labial Contrast: /b/ vs /m/ Initial,/b/,/m/,replace orthographic b/v with a real Spanish labial contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_17_workspace.csv,draft
drill_pack_11,Fricative Place: /s/ vs /ʃ/ Initial,20,pack_es_s_vs_tch_initial,Fricative/Affricate: /s/ vs /tʃ/ Initial,/s/,/tʃ/,replace English /s/ vs /ʃ/ with a Spanish-valid initial contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_11_workspace.csv,draft
drill_pack_12,Fricative Place: /s/ vs /ʃ/ Final,20,pack_es_l_vs_r_final,Liquid Contrast: /l/ vs /r/ Final,/l/,/r/,replace English final /s/ vs /ʃ/ with a Spanish-valid coda contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_12_workspace.csv,draft
drill_pack_14,Liquid Contrasts: /l/ vs /r/ Final,20,pack_es_l_vs_r_final_curated,Liquid Contrast: /l/ vs /r/ Final Curated,/l/,/r/,rebuild the final-liquid pack only from natural Spanish coda /l/ versus /r/ items,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_14_workspace.csv,draft
drill_pack_16,Nasal Place: /m/ vs /n/ Final,20,pack_es_m_vs_n_medial,Nasal Contrast: /m/ vs /n/ Medial,/m/,/n/,retain nasal place discrimination with a stable Spanish medial contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_16_workspace.csv,draft
drill_pack_18,Vowel Height Front: /ɪ/ vs /iː/ Medial,20,pack_es_i_vs_e_medial,Vowel Contrast: /i/ vs /e/ Medial,/i/,/e/,replace English tense/lax front-vowel logic with a Spanish vowel contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_18_workspace.csv,draft
drill_pack_19,Vowel Height Back: /ʊ/ vs /uː/ Medial,20,pack_es_o_vs_u_medial,Vowel Contrast: /o/ vs /u/ Medial,/o/,/u/,replace English tense/lax back-vowel logic with Spanish vowel contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_19_workspace.csv,draft
drill_pack_20,Diphthong Contrasts: /aɪ/ vs /ɔɪ/ Medial,20,pack_es_ai_vs_ei_medial,Diphthong Contrast: /ai/ vs /ei/ Medial,/ai/,/ei/,retain glide perception work using Spanish-valid diphthongs,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_20_workspace.csv,draft
drill_pack_21,Affricate/Fricative: /tʃ/ vs /ʃ/ Initial,20,pack_es_tch_vs_s_initial,Affricate/Fricative: /tʃ/ vs /s/ Initial,/tʃ/,/s/,retain burst-vs-frication discrimination with pan-regional fricative target,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_21_workspace.csv,draft
drill_pack_22,Affricate/Fricative: /dʒ/ vs /ʒ/ Mixed,20,pack_es_palatal_redesign,Palatal Contrast Redesign,/ʝ/,/tʃ/,replace English affricate/fricative logic with a Spanish-valid palatal contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_22_workspace.csv,draft
drill_pack_23,Voicing Clusters: Initial,20,pack_es_pl_vs_pr_initial,Cluster Contrast: /pl/ vs /pr/ Initial,/pl/,/pr/,replace English s-stop clusters with a Spanish-valid onset cluster contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_23_workspace.csv,draft
drill_pack_24,Final Consonant Awareness: /t/ vs null Final,20,pack_es_final_s_vs_null,Final Awareness: /s/ vs null,/s/,null,replace English final /t/ deletion awareness with a Spanish-final contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_24_workspace.csv,draft
drill_pack_25,Mixed Review: Hardest Pairs,20,pack_es_advanced_mix,Advanced Spanish Contrast Mix,multiple,multiple,rebuild the hardest-pairs block only from validated Spanish-native contrast families,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/drill_pack_25_workspace.csv,draft
pack_i_vs_I,Vowels: /i/ vs /I/,20,pack_es_i_vs_e,Vowel Contrast: /i/ vs /e/,/i/,/e/,replace English tense/lax high-front vowel logic with a Spanish vowel contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/pack_i_vs_I_workspace.csv,draft
pack_e_vs_ae,Vowels: /E/ vs /ae/,20,pack_es_e_vs_a,Vowel Contrast: /e/ vs /a/,/e/,/a/,replace English mid-front/low-front vowel logic with a Spanish vowel contrast,/private/tmp/main-sync/content/spanish_templates_1x/drill_redesign_workspaces/pack_e_vs_ae_workspace.csv,draft
