id,category,prompt_text_en,response_text_en,target_keyword_en,target_phoneme,acoustic_foil_en,semantic_foil_en,plausible_foil_en,difficulty,tier,source_row_id,source_language,target_language,translation_status,prompt_text_es,response_text_es,target_keyword_es,acoustic_foil_es,semantic_foil_es,plausible_foil_es
conv_appt_001,appointments,What time is the appointment?,It's at three thirty.,three thirty,/θ/,four fifteen,on Tuesday,not sure yet,2,free,conv_appt_001,en,es,machine_translated,¿A qué hora es la cita?,Son las tres y media.,tres y media,cuatro quince,el martes,no estoy seguro todavía
conv_appt_002,appointments,When should I arrive?,Please come fifteen minutes early.,fifteen minutes,/f/,fifty minutes early,after lunch,whenever you can,2,free,conv_appt_002,en,es,machine_translated,¿Cuándo debo llegar?,Por favor venga quince minutos antes.,quince minutos,cincuenta minutos antes,después del almuerzo,siempre que puedas
conv_appt_003,appointments,Which doctor am I seeing?,You're seeing Doctor Miller.,Doctor Miller,/m/,Doctor Wheeler,the specialist,the one on call,2,free,conv_appt_003,en,es,machine_translated,¿A qué médico estoy viendo?,Estás viendo al Doctor Miller.,doctor molinero,Doctor Wheeler,el especialista,el que está de guardia
conv_appt_004,appointments,What floor is the office on?,It's on the third floor.,third floor,/θ/,first floor,the main building,take the elevator,2,free,conv_appt_004,en,es,machine_translated,¿En qué piso está la oficina?,Está en el tercer piso.,tercer piso,primer piso,el edificio principal,tomar el ascensor
conv_appt_005,appointments,Do I need to bring anything?,Bring your insurance card.,insurance card,/ʃ/,insurance form,all your paperwork,just yourself,2,free,conv_appt_005,en,es,machine_translated,¿Necesito traer algo?,Traiga su tarjeta de seguro.,tarjeta de seguro,formulario de seguro,todo tu papeleo,solo tu mismo
conv_appt_006,appointments,How long will it take?,About forty-five minutes.,forty-five,/f/,twenty-five minutes,the whole morning,depends on results,3,free,conv_appt_006,en,es,machine_translated,¿Cuánto tiempo tardará?,Unos cuarenta y cinco minutos.,Cuarenta y cinco,veinticinco minutos,toda la mañana,depende de los resultados
conv_appt_007,appointments,Can I reschedule?,"Yes, call us tomorrow morning.",tomorrow morning,/m/,tomorrow evening,as soon as possible,whenever works,2,free,conv_appt_007,en,es,machine_translated,¿Puedo reprogramar?,"Sí, llámanos mañana por la mañana.",mañana por la mañana,noche de mañana,lo antes posible,siempre que funcione
conv_appt_008,appointments,Is parking available?,"Yes, use the garage on Main Street.",Main Street,/s/,First Street,behind the building,there's a lot nearby,3,free,conv_appt_008,en,es,machine_translated,¿Hay estacionamiento disponible?,"Sí, usa el garaje de Main Street.",Calle principal,Primera calle,detrás del edificio,hay mucho cerca
conv_appt_009,appointments,What's the copay?,Twenty-five dollars.,Twenty-five,/t/,Thirty-five dollars,depends on insurance,we'll bill you later,2,free,conv_appt_009,en,es,machine_translated,¿Cuál es el copago?,Veinticinco dólares.,Veinticinco,treinta y cinco dolares,depende del seguro,te facturaremos más tarde
conv_appt_010,appointments,Is the doctor running late?,About fifteen minutes behind.,fifteen minutes,/f/,fifty minutes behind,quite a while,just a little,2,free,conv_appt_010,en,es,machine_translated,¿El médico llega tarde?,Unos quince minutos atrás.,quince minutos,cincuenta minutos detrás,un buen rato,solo un poco
conv_dir_001,directions,Where is the pharmacy?,It's on the corner of Fifth and Oak.,Fifth and Oak,/f/,Sixth and Oak,down the street,I'm not sure,2,free,conv_dir_001,en,es,machine_translated,¿Dónde está la farmacia?,Está en la esquina de Fifth y Oak.,Quinto y Roble,Sexto y Roble,por la calle,No estoy seguro
conv_dir_002,directions,How do I get to the elevator?,Go straight and turn left at the end.,turn left,/l/,turn right,keep going straight,it's near the entrance,2,free,conv_dir_002,en,es,machine_translated,¿Cómo llego al ascensor?,Siga recto y al final gire a la izquierda.,Gire a la izquierda,Gire a la derecha,sigue recto,esta cerca de la entrada
