scenario_id,environment_type,difficulty_tier,context_primer,speaker_a_config,speaker_b_config,dialogue_script,smart_question_data,background_noise_prompt
pharmacy_pickup_validation_01,Medical,1,"You are at the pharmacy counter to pick up medication.",Female_High,Male_Deep,"A: Next in line. How can I help? / B: Picking up for Peterson, first name Robert. / A: Okay, Robert Peterson. Can you confirm the date of birth? / B: January 5th, 1955. / A: Looks like the Lisinopril is ready. That will be $12.50.","{""question_text"": ""What is the cost of the prescription?"", ""correct_answer"": ""$12.50"", ""acoustic_foil"": ""$20.50"", ""semantic_foil"": ""$19.55""}","Pharmacy background noise, distant PA announcements for flu shots, pill counting machine sounds, quiet chatter, fluorescent lighting hum."
restaurant_specials_diner_01,Cafe,1,"You are seated at a diner and the server is describing the lunch options.",Male_Deep,Female_High,"A: Welcome to Marty's Diner. Can I start you off with a drink? / B: Just water for now. What are the specials today? / A: Today we have a turkey club sandwich with fries, or a spinach and feta omelet. / B: I think I'll take the omelet.","{""question_text"": ""What did the customer order?"", ""correct_answer"": ""Spinach and feta omelet"", ""acoustic_foil"": ""Spinach and cheddar omelet"", ""semantic_foil"": ""Turkey club sandwich""}","Busy diner atmosphere, clattering plates and silverware, kitchen sounds in the background, multiple overlapping conversations, sizzling grill."
transit_bus_arrival_01,Transit,1,"You are waiting at a bus stop and listening to an automated announcement.",Female_Deep,N/A,"A: Attention passengers. The Route 15 bus to downtown is now arriving at Stop 4. The next arrival is scheduled in twenty minutes.","{""question_text"": ""Which route number is currently arriving?"", ""correct_answer"": ""Route 15"", ""acoustic_foil"": ""Route 50"", ""semantic_foil"": ""Route 20""}","Street noise, moderate traffic rumble, wind noise, occasional car horn."
social_family_story_simple_01,Social,1,"You are talking to your spouse in the kitchen while preparing dinner.",Male_High,Female_Deep,"A: Did you remember to call the plumber about the sink leak? / B: Yes, I called him this morning. He said he can come by tomorrow at 11 AM. / A: 11 AM? Perfect. Did he give an estimate? / B: He said it should just be the standard service fee of $85.","{""question_text"": ""What is the standard service fee mentioned?"", ""correct_answer"": ""$85"", ""acoustic_foil"": ""$89"", ""semantic_foil"": ""$11""}","Kitchen environment, water running intermittently, chopping vegetables sounds, refrigerator hum, distant traffic."
medical_scheduling_followup_02,Medical,2,"You are calling your doctor's office to schedule a follow-up.",Male_Deep,Female_High,"A: Dr. Chen's office, this is Mark. / B: Hi Mark, this is Susan Gatsby. I need to schedule a follow-up appointment. / A: Okay Ms. Gatsby. Dr. Chen has availability next Tuesday, the 9th, at 2:30 PM or Thursday the 11th at 10:00 AM. / B: The Tuesday appointment works best for me. / A: Alright, you are confirmed for December 9th at 2:30 PM.","{""question_text"": ""What time is the appointment scheduled for on Tuesday?"", ""correct_answer"": ""2:30 PM"", ""acoustic_foil"": ""10:30 AM"", ""semantic_foil"": ""10:00 AM""}","Doctor's office waiting room, phones ringing frequently, quiet background conversations, printer sounds, sound of a door opening and closing."
transit_train_delay_02,Transit,2,"You are on a crowded train platform listening for a delay announcement.",Male_High,N/A,"A: (Static burst) Attention commuters on the East line. The 5:15 local train to Parkside is delayed by approximately twelve minutes due to track maintenance. The express train is running on schedule.","{""question_text"": ""How long is the local train delayed?"", ""correct_answer"": ""Twelve minutes"", ""acoustic_foil"": ""Twenty minutes"", ""semantic_foil"": ""Fifteen minutes""}","Crowded train station, loud train arrival/departure sounds (brake screech), crowd babble, echoing footsteps."
social_grandchild_story_noise_02,Social,2,"You are talking to your grandchild after school while the TV is on.",Female_High,Male_Deep,"A: Grandpa! Guess what happened in art class today! / B: Tell me all about it. / A: We were painting, and Sarah spilled the blue paint all over Mr. Harrison's shoes! / B: Oh no! Was he upset? / A: No, he just laughed and said his shoes needed more color.","{""question_text"": ""What color paint was spilled?"", ""correct_answer"": ""Blue paint"", ""acoustic_foil"": ""Glue paint"", ""semantic_foil"": ""Red paint""}","Living room environment, television playing a sitcom in the background (audible dialogue), distant traffic noise, a dog barking occasionally."
cafe_order_complex_02,Cafe,2,"You are ordering drinks at a moderately busy coffee shop.",Female_High,Male_High,"A: Welcome in, what can I get for you? / B: Hi, can I get a large latte with oat milk, and a medium cappuccino, extra dry? / A: Okay, one large oat latte, one medium dry cap. Anything else? / B: And a blueberry muffin, heated up. / A: Alright. That’s $11.75.","{""question_text"": ""What type of milk was requested for the latte?"", ""correct_answer"": ""Oat milk"", ""acoustic_foil"": ""Goat milk"", ""semantic_foil"": ""Whole milk""}","Busy cafe environment, loud espresso grinding, milk steaming, moderate overlapping conversations (babble), upbeat background music."
emergency_911_instructions_03,Medical,3,"You have called 911 because someone collapsed on a noisy street.",Female_Deep,Male_High,"A: 911, what is your emergency? / B: A man collapsed at the corner of Elm and Maple. He's barely breathing. / A: Okay sir, stay calm. Help is on the way. I need you to check if his airway is clear. / B: (Overlapping slightly) It looks clear, but he's not responding! / A: Alright, start chest compressions now. Push hard and fast in the center of the chest.","{""question_text"": ""What action did the operator ask the caller to perform immediately?"", ""correct_answer"": ""Start chest compressions"", ""acoustic_foil"": ""Start rescue breathing"", ""semantic_foil"": ""Check his airway""}","City street background noise, sirens approaching in the distance, worried onlookers murmuring, heavy traffic sounds, wind noise."
cafe_payment_split_03,Cafe,3,"You are at a loud restaurant trying to split the bill with two friends. (Requires Stream Segregation: 3 Speakers A=Waiter, B=Friend1, C=Friend2)",Male_Deep,Female_High,"A: Here is your check. Total is $60. / B: Can we split this? I had the salad and the iced tea. / C (Female_Deep): (Overlapping B slightly) I'll just put $25 down for my steak. / A: Okay, so $25 from you (C). And the salad and tea (B) comes to $15.50.","{""question_text"": ""How much did the person who had the salad and tea owe?"", ""correct_answer"": ""$15.50"", ""acoustic_foil"": ""$50.50"", ""semantic_foil"": ""$25.00""}","Very busy restaurant during peak hour, loud music, significant multi-talker babble (high density), kitchen noise (clanging pots)."
