source_pack_id,source_row_id,source_pack_name,difficulty,tier,position,proposed_pack_id,proposed_pack_name,proposed_target_phoneme_es,proposed_contrast_phoneme_es,clinical_goal,candidate_slot,proposed_word_1_es,proposed_word_2_es,lexical_naturalness_notes,regional_notes,approval_status
pack_s_vs_z,drill_sz_001,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,1,suma,fuma,Marco bisilábico controlado con vocales idénticas.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_002,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,2,sumo,fumo,Contraste inicial de alta familiaridad en marco de vocal redondeada.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_003,Voicing: /s/ vs /z/,3,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,3,sumas,fumas,Marco verbal que preserva la misma tarea de fricación inicial.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_004,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,4,sume,fume,Marco corto de dos sílabas con contraste espectral inicial estable.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_005,Voicing: /s/ vs /z/,3,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,5,sumen,fumen,Formas verbales plurales que extienden el mismo marco inicial con dificultad moderada.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_006,Voicing: /s/ vs /z/,3,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,6,sumé,fumé,Par con cambio de acento que mantiene el contraste inicial y aumenta la carga léxica.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_007,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,7,soso,foso,Par léxico frecuente con estructura silábica igualada.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_008,Voicing: /s/ vs /z/,2,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,8,sosa,fosa,Par funcional para discriminar /s/ frente a /f/ en posición inicial.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_009,Voicing: /s/ vs /z/,4,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,9,sino,fino,La rima compartida concentra la atención en la pista fricativa inicial.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
pack_s_vs_z,drill_sz_010,Voicing: /s/ vs /z/,4,free,initial,pack_es_s_vs_f,Fricative Contrast: /s/ vs /f/,/s/,/f/,Spanish-native high-salience initial fricative discrimination using matched onset frames; avoids non-panregional /z/ assumptions.,10,silo,filo,Par casi mínimo con contraste claro de fricación inicial.,Panregional launch set built around /s/ and /f/; avoids castellano-only or English voicing assumptions.,clinically_reviewed
