id,scenario_id,speaker,text_en,order,source_row_id,text_es,source_language,target_language,translation_status
scn_grocery_checkout_01,scn_grocery_checkout,Cashier,Did you find everything you were looking for today?,1,scn_grocery_checkout_01,¿Encontraste todo lo que buscabas hoy?,en,es,machine_translated
scn_grocery_checkout_02,scn_grocery_checkout,Customer,Yes I did thank you. Do you have any paper bags?,2,scn_grocery_checkout_02,"Sí, te lo agradecí. ¿Tienes bolsas de papel?",en,es,machine_translated
scn_grocery_checkout_03,scn_grocery_checkout,Cashier,We do. Would you like paper or plastic?,3,scn_grocery_checkout_03,Lo hacemos. ¿Quieres papel o plástico?,en,es,machine_translated
scn_grocery_checkout_04,scn_grocery_checkout,Customer,Paper please. And I have my own reusable bags too.,4,scn_grocery_checkout_04,Papel por favor. Y también tengo mis propias bolsas reutilizables.,en,es,machine_translated
scn_grocery_checkout_05,scn_grocery_checkout,Cashier,Great. Your total comes to forty-seven dollars and thirty-two cents.,5,scn_grocery_checkout_05,Excelente. Su total asciende a cuarenta y siete dólares con treinta y dos centavos.,en,es,machine_translated
scn_grocery_checkout_06,scn_grocery_checkout,Customer,Here you go. Can I get cash back?,6,scn_grocery_checkout_06,Aquí tienes. ¿Puedo obtener un reembolso en efectivo?,en,es,machine_translated
scn_grocery_checkout_07,scn_grocery_checkout,Cashier,Sure. How much would you like?,7,scn_grocery_checkout_07,Seguro. ¿Cuánto te gustaría?,en,es,machine_translated
scn_grocery_checkout_08,scn_grocery_checkout,Customer,Twenty dollars please.,8,scn_grocery_checkout_08,Veinte dólares por favor.,en,es,machine_translated
scn_pharmacy_pickup_01,scn_pharmacy_pickup,Pharmacist,Hi there. How can I help you today?,1,scn_pharmacy_pickup_01,Hola. ¿Cómo puedo ayudarte hoy?,en,es,machine_translated
scn_pharmacy_pickup_02,scn_pharmacy_pickup,Customer,I'm here to pick up a prescription for Johnson.,2,scn_pharmacy_pickup_02,Estoy aquí para recoger una receta para Johnson.,en,es,machine_translated
scn_pharmacy_pickup_03,scn_pharmacy_pickup,Pharmacist,First name and date of birth please?,3,scn_pharmacy_pickup_03,"¿Nombre y fecha de nacimiento, por favor?",en,es,machine_translated
scn_pharmacy_pickup_04,scn_pharmacy_pickup,Customer,Sarah Johnson. March fifteenth nineteen seventy-two.,4,scn_pharmacy_pickup_04,Sara Johnson. Quince de marzo de mil novecientos setenta y dos.,en,es,machine_translated
scn_pharmacy_pickup_05,scn_pharmacy_pickup,Pharmacist,Let me check. Yes we have it ready. Have you taken this medication before?,5,scn_pharmacy_pickup_05,Permítame verificar. Sí lo tenemos listo. ¿Ha tomado este medicamento antes?,en,es,machine_translated
scn_pharmacy_pickup_06,scn_pharmacy_pickup,Customer,No this is the first time.,6,scn_pharmacy_pickup_06,"No, esta es la primera vez.",en,es,machine_translated
scn_pharmacy_pickup_07,scn_pharmacy_pickup,Pharmacist,Would you like to speak with the pharmacist about any questions?,7,scn_pharmacy_pickup_07,¿Le gustaría hablar con el farmacéutico sobre cualquier duda?,en,es,machine_translated
scn_pharmacy_pickup_08,scn_pharmacy_pickup,Customer,Yes please. I'd like to know about possible side effects.,8,scn_pharmacy_pickup_08,"Sí, por favor. Me gustaría saber sobre posibles efectos secundarios.",en,es,machine_translated
scn_restaurant_order_01,scn_restaurant_order,Server,Good evening. Welcome to Mario's. Can I start you off with something to drink?,1,scn_restaurant_order_01,Buenas noches. Bienvenidos a Mario's. ¿Puedo empezar con algo de beber?,en,es,machine_translated
scn_restaurant_order_02,scn_restaurant_order,Customer,I'll have a glass of water and an iced tea please.,2,scn_restaurant_order_02,"Tomaré un vaso de agua y un té helado, por favor.",en,es,machine_translated
scn_restaurant_order_03,scn_restaurant_order,Server,Sweetened or unsweetened for the tea?,3,scn_restaurant_order_03,¿Endulzado o sin endulzar para el té?,en,es,machine_translated
scn_restaurant_order_04,scn_restaurant_order,Customer,Unsweetened please. Do you have any specials tonight?,4,scn_restaurant_order_04,Sin azúcar por favor. ¿Tienes algún especial esta noche?,en,es,machine_translated
scn_restaurant_order_05,scn_restaurant_order,Server,Yes. Tonight we have grilled salmon with roasted vegetables.,5,scn_restaurant_order_05,Sí. Esta noche tenemos salmón a la plancha con verduras asadas.,en,es,machine_translated
scn_restaurant_order_06,scn_restaurant_order,Customer,That sounds good. I'll have the salmon special.,6,scn_restaurant_order_06,Eso suena bien. Tomaré el salmón especial.,en,es,machine_translated
scn_restaurant_order_07,scn_restaurant_order,Server,Excellent choice. Would you like a salad or soup to start?,7,scn_restaurant_order_07,Excelente elección. ¿Quieres empezar con una ensalada o sopa?,en,es,machine_translated
scn_restaurant_order_08,scn_restaurant_order,Customer,The house salad with ranch dressing on the side please.,8,scn_restaurant_order_08,"La ensalada de la casa con aderezo ranch para acompañar, por favor.",en,es,machine_translated
scn_bank_transaction_01,scn_bank_transaction,Teller,Hello. How can I help you today?,1,scn_bank_transaction_01,Hola. ¿Cómo puedo ayudarte hoy?,en,es,machine_translated
scn_bank_transaction_02,scn_bank_transaction,Customer,I'd like to make a deposit into my checking account.,2,scn_bank_transaction_02,Me gustaría hacer un depósito en mi cuenta corriente.,en,es,machine_translated
scn_bank_transaction_03,scn_bank_transaction,Teller,May I have your account number or your ID please?,3,scn_bank_transaction_03,"¿Puedo darme su número de cuenta o su identificación, por favor?",en,es,machine_translated
scn_bank_transaction_04,scn_bank_transaction,Customer,Here's my driver's license.,4,scn_bank_transaction_04,Aquí está mi licencia de conducir.,en,es,machine_translated
scn_bank_transaction_05,scn_bank_transaction,Teller,Thank you Mr. Williams. How much would you like to deposit?,5,scn_bank_transaction_05,Gracias Sr. Williams. ¿Cuánto le gustaría depositar?,en,es,machine_translated
scn_bank_transaction_06,scn_bank_transaction,Customer,Five hundred dollars. Three hundred in cash and a check for two hundred.,6,scn_bank_transaction_06,Quinientos dólares. Trescientos en efectivo y un cheque por doscientos.,en,es,machine_translated
scn_bank_transaction_07,scn_bank_transaction,Teller,The cash will be available immediately. The check will clear in two business days.,7,scn_bank_transaction_07,El efectivo estará disponible de inmediato. El cheque se liquidará en dos días hábiles.,en,es,machine_translated
scn_bank_transaction_08,scn_bank_transaction,Customer,That's fine. Can I also get my current balance?,8,scn_bank_transaction_08,Está bien. ¿Puedo obtener también mi saldo actual?,en,es,machine_translated
scn_bus_directions_01,scn_bus_directions,Passenger,Excuse me does this bus go to the downtown transit center?,1,scn_bus_directions_01,"Disculpe, ¿este autobús va al centro de tránsito del centro?",en,es,machine_translated
scn_bus_directions_02,scn_bus_directions,Driver,Yes it does. We'll be there in about twenty minutes.,2,scn_bus_directions_02,Sí lo hace. Estaremos allí en unos veinte minutos.,en,es,machine_translated
scn_bus_directions_03,scn_bus_directions,Passenger,Will you announce the stop or should I watch for it?,3,scn_bus_directions_03,¿Anunciarás la parada o debo estar atento?,en,es,machine_translated
scn_bus_directions_04,scn_bus_directions,Driver,I announce all major stops. Downtown is stop number fourteen.,4,scn_bus_directions_04,Anuncio todas las paradas importantes. El centro es la parada número catorce.,en,es,machine_translated
scn_bus_directions_05,scn_bus_directions,Passenger,Thank you. Is there a transfer point there for the eastside routes?,5,scn_bus_directions_05,Gracias. ¿Hay algún punto de transferencia allí para las rutas del este?,en,es,machine_translated
scn_bus_directions_06,scn_bus_directions,Driver,Yes. Routes fifteen and twenty-three both connect there.,6,scn_bus_directions_06,Sí. Allí se conectan las rutas quince y veintitrés.,en,es,machine_translated
scn_bus_directions_07,scn_bus_directions,Passenger,Great. I'll watch for the downtown stop. What time does the last bus run?,7,scn_bus_directions_07,Excelente. Estaré atento a la parada del centro. ¿A qué hora sale el último autobús?,en,es,machine_translated
scn_bus_directions_08,scn_bus_directions,Driver,The last bus leaves downtown at eleven thirty on weeknights.,8,scn_bus_directions_08,El último autobús sale del centro a las once y media entre semana.,en,es,machine_translated
scn_appointment_checkin_01,scn_appointment_checkin,Receptionist,Good morning. Do you have an appointment today?,1,scn_appointment_checkin_01,Buen día. ¿Tienes una cita hoy?,en,es,machine_translated
scn_appointment_checkin_02,scn_appointment_checkin,Patient,Yes I have a ten o'clock with Doctor Patel.,2,scn_appointment_checkin_02,"Sí, tengo una cita a las diez con el doctor Patel.",en,es,machine_translated
scn_appointment_checkin_03,scn_appointment_checkin,Receptionist,Your name please?,3,scn_appointment_checkin_03,¿Tu nombre por favor?,en,es,machine_translated
scn_appointment_checkin_04,scn_appointment_checkin,Patient,Michael Thompson.,4,scn_appointment_checkin_04,Michael Thomson.,en,es,machine_translated
scn_appointment_checkin_05,scn_appointment_checkin,Receptionist,I found you. Has your insurance information changed since your last visit?,5,scn_appointment_checkin_05,Te encontré. ¿Ha cambiado la información de su seguro desde su última visita?,en,es,machine_translated
scn_appointment_checkin_06,scn_appointment_checkin,Patient,No it's still the same.,6,scn_appointment_checkin_06,"No, sigue igual.",en,es,machine_translated
scn_appointment_checkin_07,scn_appointment_checkin,Receptionist,Please have a seat. The doctor will be with you shortly.,7,scn_appointment_checkin_07,Por favor tome asiento. El médico estará con usted en breve.,en,es,machine_translated
scn_appointment_checkin_08,scn_appointment_checkin,Patient,Thank you. Is there a copay I need to pay today?,8,scn_appointment_checkin_08,Gracias. ¿Debo pagar algún copago hoy?,en,es,machine_translated
scn_hair_salon_01,scn_hair_salon,Stylist,Hi there. What are we doing for you today?,1,scn_hair_salon_01,Hola. ¿Qué vamos a hacer por ti hoy?,en,es,machine_translated
scn_hair_salon_02,scn_hair_salon,Customer,I'd like a trim and maybe some layers added.,2,scn_hair_salon_02,Me gustaría un recorte y tal vez agregar algunas capas.,en,es,machine_translated
scn_hair_salon_03,scn_hair_salon,Stylist,How much length do you want to take off?,3,scn_hair_salon_03,¿Cuánto largo quieres quitar?,en,es,machine_translated
scn_hair_salon_04,scn_hair_salon,Customer,About an inch. I want to keep most of the length.,4,scn_hair_salon_04,Aproximadamente una pulgada. Quiero conservar la mayor parte de la longitud.,en,es,machine_translated
scn_hair_salon_05,scn_hair_salon,Stylist,Sounds good. Do you want me to style it after or just blow dry?,5,scn_hair_salon_05,Suena bien. ¿Quieres que te lo peine después o simplemente lo seque con secador?,en,es,machine_translated
scn_hair_salon_06,scn_hair_salon,Customer,Just a simple blow dry is fine.,6,scn_hair_salon_06,Un simple secado con secador está bien.,en,es,machine_translated
scn_hair_salon_07,scn_hair_salon,Stylist,Would you like to schedule your next appointment before you leave?,7,scn_hair_salon_07,¿Le gustaría programar su próxima cita antes de partir?,en,es,machine_translated
scn_hair_salon_08,scn_hair_salon,Customer,Yes please. Same time next month would be perfect.,8,scn_hair_salon_08,"Sí, por favor. A la misma hora el próximo mes sería perfecto.",en,es,machine_translated
scn_dry_cleaner_01,scn_dry_cleaner,Employee,Hi. Picking up or dropping off today?,1,scn_dry_cleaner_01,Hola. ¿Recoger o dejar hoy?,en,es,machine_translated
scn_dry_cleaner_02,scn_dry_cleaner,Customer,Picking up. The last name is Garcia.,2,scn_dry_cleaner_02,Recogiendo. El apellido es García.,en,es,machine_translated
scn_dry_cleaner_03,scn_dry_cleaner,Employee,Do you have your ticket?,3,scn_dry_cleaner_03,¿Tienes tu billete?,en,es,machine_translated
scn_dry_cleaner_04,scn_dry_cleaner,Customer,I think I lost it. I dropped off a suit and two shirts last week.,4,scn_dry_cleaner_04,Creo que lo perdí. Dejé un traje y dos camisas la semana pasada.,en,es,machine_translated
scn_dry_cleaner_05,scn_dry_cleaner,Employee,No problem. Can I see your ID?,5,scn_dry_cleaner_05,Ningún problema. ¿Puedo ver tu identificación?,en,es,machine_translated
scn_dry_cleaner_06,scn_dry_cleaner,Customer,Sure. Here you go.,6,scn_dry_cleaner_06,Seguro. Aquí tienes.,en,es,machine_translated
scn_dry_cleaner_07,scn_dry_cleaner,Employee,I found it. That will be twenty-three fifty.,7,scn_dry_cleaner_07,Lo encontré. Serán veintitrés cincuenta.,en,es,machine_translated
scn_dry_cleaner_08,scn_dry_cleaner,Customer,Here you go. Thank you for finding it without the ticket.,8,scn_dry_cleaner_08,Aquí tienes. Gracias por encontrarlo sin el billete.,en,es,machine_translated
scn_post_office_01,scn_post_office,Clerk,Next please. How can I help you?,1,scn_post_office_01,El siguiente por favor. ¿Le puedo ayudar en algo?,en,es,machine_translated
scn_post_office_02,scn_post_office,Customer,I need to mail this package to California.,2,scn_post_office_02,Necesito enviar este paquete por correo a California.,en,es,machine_translated
scn_post_office_03,scn_post_office,Clerk,Would you like regular mail or priority?,3,scn_post_office_03,¿Quieres correo regular o prioridad?,en,es,machine_translated
scn_post_office_04,scn_post_office,Customer,How long does each take?,4,scn_post_office_04,¿Cuanto tiempo tarda cada uno?,en,es,machine_translated
scn_post_office_05,scn_post_office,Clerk,Regular is five to seven days. Priority is two to three days.,5,scn_post_office_05,Regular es de cinco a siete días. La prioridad es de dos a tres días.,en,es,machine_translated
scn_post_office_06,scn_post_office,Customer,Priority please. I need it there by Friday.,6,scn_post_office_06,Prioridad por favor. Lo necesito para el viernes.,en,es,machine_translated
scn_post_office_07,scn_post_office,Clerk,Is there anything fragile or liquid inside?,7,scn_post_office_07,¿Hay algo frágil o líquido dentro?,en,es,machine_translated
scn_post_office_08,scn_post_office,Customer,No just books and some documents.,8,scn_post_office_08,No sólo libros y algunos documentos.,en,es,machine_translated
scn_gym_signup_01,scn_gym_signup,Staff,Welcome to FitLife. Are you interested in a membership?,1,scn_gym_signup_01,Bienvenido a FitLife. ¿Estás interesado en una membresía?,en,es,machine_translated
scn_gym_signup_02,scn_gym_signup,Customer,Yes. I'd like to learn about your options.,2,scn_gym_signup_02,Sí. Me gustaría conocer sus opciones.,en,es,machine_translated
