source_pack_id,source_row_id,source_pack_name,contrast_type,difficulty,tier,position,target_phoneme_en,contrast_phoneme_en,target_phoneme_es_current,contrast_phoneme_es_current,word_1_en,word_1_es_current,word_2_en,word_2_es_current,clinical_note_en,clinical_note_es_current,review_decision,approved_word_1_es,approved_word_2_es,approved_target_phoneme_es,approved_contrast_phoneme_es,approved_clinical_note_es,review_notes
pack_s_vs_sh,drill_ssh_001,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,sip,sorbo,ship,barco,High frequency contrast,Contraste de alta frecuencia,pending,,,,,,
pack_s_vs_sh,drill_ssh_002,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,sea,mar,she,ella,Common minimal pair,Par mínimo común,pending,,,,,,
pack_s_vs_sh,drill_ssh_003,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,sell,vender,shell,caparazón,Short vowel context,Contexto vocal corto,pending,,,,,,
pack_s_vs_sh,drill_ssh_004,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,sock,calcetín,shock,choque,Open vowel,vocal abierta,pending,,,,,,
pack_s_vs_sh,drill_ssh_005,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,seat,asiento,sheet,hoja,Long vowel,vocal larga,pending,,,,,,
pack_s_vs_sh,drill_ssh_006,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,save,ahorrar,shave,afeitar,Diphthong context,Contexto diptongo,pending,,,,,,
pack_s_vs_sh,drill_ssh_007,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,sore,doloroso,shore,costa,R-colored vowel,vocal de color R,pending,,,,,,
pack_s_vs_sh,drill_ssh_008,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,so,entonces,show,espectáculo,High frequency,Frecuencia alta,pending,,,,,,
pack_s_vs_sh,drill_ssh_009,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,sue,demandar,shoe,zapato,Back vowel,Vocal posterior,pending,,,,,,
pack_s_vs_sh,drill_ssh_010,Sibilants: /s/ vs /ʃ/,place,3,free,initial,/s/,/ʃ/,nan,nan,sack,bolsa,shack,choza,Less common,Menos común,pending,,,,,,
pack_s_vs_sh,drill_ssh_011,Sibilants: /s/ vs /ʃ/,place,3,free,final,/s/,/ʃ/,nan,nan,mass,masa,mash,mezcla,Final position,Posición final,pending,,,,,,
pack_s_vs_sh,drill_ssh_012,Sibilants: /s/ vs /ʃ/,place,3,free,final,/s/,/ʃ/,nan,nan,bass,bajo,bash,intento,Clear contrast,Claro contraste,pending,,,,,,
pack_s_vs_sh,drill_ssh_013,Sibilants: /s/ vs /ʃ/,place,3,free,final,/s/,/ʃ/,nan,nan,mess,desorden,mesh,malla,Short vowel,vocal corta,pending,,,,,,
pack_s_vs_sh,drill_ssh_014,Sibilants: /s/ vs /ʃ/,place,3,free,final,/s/,/ʃ/,nan,nan,gas,gas,gash,tajo,Common words,Palabras comunes,pending,,,,,,
pack_s_vs_sh,drill_ssh_015,Sibilants: /s/ vs /ʃ/,place,3,free,final,/ʃ/,/s/,nan,nan,leash,correa,lease,alquiler,Reversed contrast,Contraste invertido,pending,,,,,,
pack_s_vs_sh,drill_ssh_016,Sibilants: /s/ vs /ʃ/,place,4,free,final,/ʃ/,/s/,nan,nan,wish,desear,whisk,batidor,Cluster comparison,Comparación de conglomerados,pending,,,,,,
pack_s_vs_sh,drill_ssh_017,Sibilants: /s/ vs /ʃ/,place,3,free,final,/s/,/ʃ/,nan,nan,diss,disentir,dish,plato,Slang vs common,Argot versus común,pending,,,,,,
pack_s_vs_sh,drill_ssh_018,Sibilants: /s/ vs /ʃ/,place,3,free,final,/s/,/ʃ/,nan,nan,class,clase,clash,choque,Cluster initial,Inicial del cluster,pending,,,,,,
pack_s_vs_sh,drill_ssh_019,Sibilants: /s/ vs /ʃ/,place,4,free,final,/s/,/ʃ/,nan,nan,puss,cara,push,empujar,High back vowel,vocal posterior alta,pending,,,,,,
pack_s_vs_sh,drill_ssh_020,Sibilants: /s/ vs /ʃ/,place,4,free,final,/s/,/ʃ/,nan,nan,crass,craso,crash,chocar,Cluster comparison,Comparación de conglomerados,pending,,,,,,
