source_pack_id,source_row_id,source_pack_name,contrast_type,difficulty,tier,position,target_phoneme_en,contrast_phoneme_en,target_phoneme_es_current,contrast_phoneme_es_current,word_1_en,word_1_es_current,word_2_en,word_2_es_current,clinical_note_en,clinical_note_es_current,review_decision,approved_word_1_es,approved_word_2_es,approved_target_phoneme_es,approved_contrast_phoneme_es,approved_clinical_note_es,review_notes
pack_t_vs_d,drill_td_001,Voicing: /t/ vs /d/,voicing,1,free,initial,/t/,/d/,nan,nan,ten,diez,den,guarida,Clear initial contrast,Claro contraste inicial,pending,,,,,,
pack_t_vs_d,drill_td_002,Voicing: /t/ vs /d/,voicing,1,free,initial,/t/,/d/,nan,nan,time,tiempo,dime,diez centavos,Common word pair,par de palabras comunes,pending,,,,,,
pack_t_vs_d,drill_td_003,Voicing: /t/ vs /d/,voicing,1,free,initial,/t/,/d/,nan,nan,tie,atar,die,morir,Monosyllabic pair,par monosilábico,pending,,,,,,
pack_t_vs_d,drill_td_004,Voicing: /t/ vs /d/,voicing,1,free,initial,/t/,/d/,nan,nan,tip,consejo,dip,aderezo,Short vowel context,Contexto vocal corto,pending,,,,,,
pack_t_vs_d,drill_td_005,Voicing: /t/ vs /d/,voicing,1,free,initial,/t/,/d/,nan,nan,town,ciudad,down,abajo,Diphthong context,Contexto diptongo,pending,,,,,,
pack_t_vs_d,drill_td_006,Voicing: /t/ vs /d/,voicing,2,free,initial,/t/,/d/,nan,nan,tear,lágrima,dear,estimado,R-colored vowel,vocal de color R,pending,,,,,,
pack_t_vs_d,drill_td_007,Voicing: /t/ vs /d/,voicing,1,free,initial,/t/,/d/,nan,nan,two,dos,do,hacer,High frequency,Frecuencia alta,pending,,,,,,
pack_t_vs_d,drill_td_008,Voicing: /t/ vs /d/,voicing,2,free,initial,/t/,/d/,/t/,/d/,toe,tía,doe,día,Diphthong minimal pair,Par mínimo bisílabo frecuente para contraste inicial /t/ vs /d/,pending,,,,,,
pack_t_vs_d,drill_td_009,Voicing: /t/ vs /d/,voicing,2,free,initial,/t/,/d/,nan,nan,tab,pestaña,dab,lenguado,Less common,Menos común,pending,,,,,,
pack_t_vs_d,drill_td_010,Voicing: /t/ vs /d/,voicing,2,free,initial,/t/,/d/,nan,nan,tank,tanque,dank,húmedo,Velar nasal context,Contexto nasal velar,pending,,,,,,
pack_t_vs_d,drill_td_011,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,bat,murciélago,bad,malo,Final voicing cue,Señal de voz final,pending,,,,,,
pack_t_vs_d,drill_td_012,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,beat,derrotar,bead,talón,Long vowel final,Final de vocal larga,pending,,,,,,
pack_t_vs_d,drill_td_013,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,seat,asiento,seed,semilla,Vowel length cue,Señal de longitud de vocal,pending,,,,,,
pack_t_vs_d,drill_td_014,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,hit,golpear,hid,escondido,Short vowel final,Final de vocal corta,pending,,,,,,
pack_t_vs_d,drill_td_015,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,coat,abrigo,code,código,Diphthong final,final del diptongo,pending,,,,,,
pack_t_vs_d,drill_td_016,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,wet,húmedo,wed,casarse,Common pair,par común,pending,,,,,,
pack_t_vs_d,drill_td_017,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,bet,apuesta,bed,cama,High frequency,Frecuencia alta,pending,,,,,,
pack_t_vs_d,drill_td_018,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,let,dejar,led,condujo,L-initial context,L-contexto inicial,pending,,,,,,
pack_t_vs_d,drill_td_019,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,mat,estera,mad,enojado,Clear contrast,Claro contraste,pending,,,,,,
pack_t_vs_d,drill_td_020,Voicing: /t/ vs /d/,voicing,2,free,final,/t/,/d/,nan,nan,sight,vista,side,lado,Diphthong with final contrast,Diptongo con contraste final,pending,,,,,,
