sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
"The phone is ringing.","Ringing",/ŋ/,"What is the phone doing?","Ringing","Singing","Talking","Daily Life",1
"She drank the hot tea.","Tea",/t/,"What did she drink?","Tea","Key","Coffee","Dining",2
"He lost his car keys.","Keys",/k/,"What did he lose?","Keys","Peas","Wallet","Daily Life",1
"The dog barked at the mail carrier.","Barked",/b/,"What did the dog do?","Barked","Parked","Jumped","Daily Life",1
"Please close the door.","Door",/d/,"What should I close?","Door","More","Window","Daily Life",1
"The baby is sleeping now.","Sleeping",/s/,"What is the baby doing?","Sleeping","Creeping","Crying","Daily Life",2
"I need a pen to write this.","Pen",/p/,"What do I need to write?","Pen","Ten","Pencil","Daily Life",1
"The coffee is too hot.","Hot",/h/,"How is the coffee?","Hot","Not","Cold","Dining",1
"We watched a movie last night.","Movie",/m/,"What did we watch?","Movie","Moving","Show","Social",2
"She wore a blue dress.","Blue",/b/,"What color was the dress?","Blue","Glue","Red","Social",2
"He bought a new coat.","Coat",/k/,"What did he buy?","Coat","Boat","Jacket","Daily Life",2
"The soup tastes very good.","Soup",/s/,"What tastes very good?","Soup","Stoop","Food","Dining",1
"I am going to the store.","Store",/st/,"Where am I going?","Store","More","Bank","Daily Life",1
"The children played in the park.","Park",/p/,"Where did the children play?","Park","Dark","Yard","Outdoors",1
"It might rain this afternoon.","Rain",/r/,"What might happen this afternoon?","Rain","Pain","Snow","Outdoors",2
"He fixed the broken chair.","Chair",/tʃ/,"What did he fix?","Chair","Share","Table","Daily Life",2
"She likes to read books.","Books",/b/,"What does she like to read?","Books","Looks","Magazines","Daily Life",1
"The wind is blowing hard.","Wind",/w/,"What is blowing hard?","Wind","Mind","Air","Outdoors",2
"We had fish for dinner.","Fish",/f/,"What did we have for dinner?","Fish","Wish","Meat","Dining",2
"The meeting starts at nine.","Nine",/n/,"When does the meeting start?","Nine","Fine","Ten","Daily Life",3
"He drives a big truck.","Truck",/tr/,"What does he drive?","Truck","Duck","Car","Daily Life",2
"I paid the bill online.","Bill",/b/,"What did I pay online?","Bill","Pill","Taxes","Daily Life",2
"She put the milk in the fridge.","Milk",/m/,"What did she put in the fridge?","Milk","Silk","Juice","Daily Life",1
"The clock is on the wall.","Clock",/k/,"What is on the wall?","Clock","Block","Picture","Daily Life",1
"We need to buy some eggs.","Eggs",/ɛ/,"What do we need to buy?","Eggs","Legs","Bread","Daily Life",1
"The sun is very bright today.","Bright",/br/,"How is the sun today?","Bright","Light","Hot","Outdoors",1
"He is wearing a hat.","Hat",/h/,"What is he wearing?","Hat","Cat","Cap","Daily Life",1
"They live in a white house.","White",/w/,"What color is the house?","White","Right","Big","Daily Life",2
"I forgot my glasses.","Glasses",/g/,"What did I forget?","Glasses","Classes","Wallet","Daily Life",2
"She is baking a cake.","Cake",/k/,"What is she baking?","Cake","Rake","Pie","Dining",2
"The water is cold.","Cold",/k/,"How is the water?","Cold","Gold","Warm","Daily Life",1
"He washed his hands.","Hands",/h/,"What did he wash?","Hands","Bands","Face","Daily Life",1
"The bird is singing in the tree.","Bird",/b/,"What is singing in the tree?","Bird","Word","Cat","Outdoors",2
"We are going on a trip.","Trip",/tr/,"What are we going on?","Trip","Ship","Vacation","Social",3
"The shoes are too tight.","Tight",/t/,"How are the shoes?","Tight","Light","Small","Daily Life",2
"He ordered a cheeseburger.","Cheeseburger",/tʃ/,"What did he order?","Cheeseburger","Cheeseboard","Sandwich","Dining",3
"The cat is hiding under the bed.","Bed",/b/,"Where is the cat hiding?","Bed","Red","Sofa","Daily Life",1
"I have a doctor's appointment.","Doctor",/d/,"What kind of appointment do I have?","Doctor","Proctor","Meeting","Daily Life",3
"She cut her finger with a knife.","Knife",/n/,"What did she use to cut her finger?","Knife","Wife","Blade","Daily Life",3
"The train is late.","Late",/l/,"How is the train?","Late","Gate","Delayed","Daily Life",2
"We need more time.","Time",/t/,"What do we need more of?","Time","Dime","Help","Social",2
"He is a very tall man.","Tall",/t/,"How would you describe the man?","Tall","Call","Big","Social",2
"The music is too loud.","Loud",/l/,"How is the music?","Loud","Proud","Noisy","Social",1
"I need to charge my phone.","Phone",/f/,"What do I need to charge?","Phone","Bone","Battery","Daily Life",1
"She found a quarter on the ground.","Quarter",/kw/,"What did she find?","Quarter","Sorter","Coin","Daily Life",3
"The apple is red and shiny.","Apple",/æ/,"What is red and shiny?","Apple","Paddle","Fruit","Dining",1
"He went for a long walk.","Walk",/w/,"What did he go for?","Walk","Talk","Run","Outdoors",2
"The car stopped at the red light.","Red",/r/,"What color was the light?","Red","Bed","Stop","Daily Life",1
"She is drinking water from a glass.","Glass",/g/,"What is she drinking water from?","Glass","Class","Cup","Dining",2
"I have a pain in my back.","Pain",/p/,"What do I have in my back?","Pain","Rain","Ache","Daily Life",3
"The stars are visible tonight.","Stars",/st/,"What is visible tonight?","Stars","Cars","Sky","Outdoors",2
"He is looking for a new job.","Job",/dʒ/,"What is he looking for?","Job","Rob","Work","Daily Life",3
"We had a great time at the party.","Party",/p/,"Where did we have a great time?","Party","Hearty","Event","Social",2
"The teacher is writing on the board.","Teacher",/t/,"Who is writing on the board?","Teacher","Preacher","Man","Daily Life",2
"I bought some fresh bread.","Bread",/br/,"What did I buy?","Bread","Thread","Food","Dining",2
"The snow is melting fast.","Snow",/sn/,"What is melting fast?","Snow","Glow","Ice","Outdoors",2
"He put salt and pepper on his food.","Pepper",/p/,"What did he put on his food besides salt?","Pepper","Paper","Spice","Dining",3
"She is afraid of spiders.","Spiders",/sp/,"What is she afraid of?","Spiders","Wider","Bugs","Daily Life",3
"The airplane is flying high.","Airplane",/pl/,"What is flying high?","Airplane","Explain","Jet","Outdoors",2
"He is eating a banana.","Banana",/b/,"What is he eating?","Banana","Bandana","Fruit","Dining",2
"The door bell is broken.","Bell",/b/,"What part of the door is broken?","Bell","Tell","Handle","Daily Life",3
