source_pack_id,source_row_id,source_pack_name,contrast_type,difficulty,tier,position,target_phoneme_en,contrast_phoneme_en,target_phoneme_es_current,contrast_phoneme_es_current,word_1_en,word_1_es_current,word_2_en,word_2_es_current,clinical_note_en,clinical_note_es_current,review_decision,approved_word_1_es,approved_word_2_es,approved_target_phoneme_es,approved_contrast_phoneme_es,approved_clinical_note_es,review_notes
pack_i_vs_I,drill_ii_001,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,beat,derrotar,bit,poco,Duration and formant cues,Señales de duración y formantes.,pending,,,,,,
pack_i_vs_I,drill_ii_002,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,feet,pies,fit,adaptar,Common pair,par común,pending,,,,,,
pack_i_vs_I,drill_ii_003,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,heat,calor,hit,golpear,H-initial context,H-contexto inicial,pending,,,,,,
pack_i_vs_I,drill_ii_004,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,seat,asiento,sit,sentarse,Very common,muy común,pending,,,,,,
pack_i_vs_I,drill_ii_005,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,meat,carne,mitt,guante,Food vs sports,Comida vs deportes,pending,,,,,,
pack_i_vs_I,drill_ii_006,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,bead,talón,bid,licitación,Final voiced,voz final,pending,,,,,,
pack_i_vs_I,drill_ii_007,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,lead,dirigir,lid,tapa,L-initial,L-inicial,pending,,,,,,
pack_i_vs_I,drill_ii_008,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,peel,cáscara,pill,píldora,L-final,L-final,pending,,,,,,
pack_i_vs_I,drill_ii_009,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,heel,tacón,hill,colina,Common words,Palabras comunes,pending,,,,,,
pack_i_vs_I,drill_ii_010,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,steal,robar,still,aún,ST-cluster,grupo ST,pending,,,,,,
pack_i_vs_I,drill_ii_011,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,deed,escritura,did,hizo,D-context,contexto D,pending,,,,,,
pack_i_vs_I,drill_ii_012,Vowels: /i/ vs /I/,tenseness,3,free,medial,/iː/,/ɪ/,nan,nan,lean,inclinarse,Lynn,lynn,Name pair,par de nombres,pending,,,,,,
pack_i_vs_I,drill_ii_013,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,peak,cima,pick,elegir,K-final,K-final,pending,,,,,,
pack_i_vs_I,drill_ii_014,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,sleep,dormir,slip,deslizar,Cluster initial,Inicial del cluster,pending,,,,,,
pack_i_vs_I,drill_ii_015,Vowels: /i/ vs /I/,tenseness,3,free,medial,/iː/,/ɪ/,nan,nan,wheat,trigo,whit,ápice,W-initial,W-inicial,pending,,,,,,
pack_i_vs_I,drill_ii_016,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,teen,adolescente,tin,estaño,T-context,contexto T,pending,,,,,,
pack_i_vs_I,drill_ii_017,Vowels: /i/ vs /I/,tenseness,3,free,medial,/iː/,/ɪ/,nan,nan,sheet,hoja,shit,mierda,Sensitive pair,par sensible,pending,,,,,,
pack_i_vs_I,drill_ii_018,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,cheap,barato,chip,chip,Affricate initial,Inicial africana,pending,,,,,,
pack_i_vs_I,drill_ii_019,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,keep,mantener,kip,dormir,K-initial,K-inicial,pending,,,,,,
pack_i_vs_I,drill_ii_020,Vowels: /i/ vs /I/,tenseness,2,free,medial,/iː/,/ɪ/,nan,nan,seek,buscar,sick,enfermo,Common words,Palabras comunes,pending,,,,,,
