review_id,phase,content_id,sample_group,difficulty,tier,category,scenario,speaker,voice_scope,text_primary,text_secondary,keyword,foil_acoustic,foil_semantic,foil_plausible,pack_id,contrast_type,position,storage_path_1,audio_url_1,storage_path_2,audio_url_2,storage_path_3,audio_url_3,storage_path_4,audio_url_4,clinical_focus,review_questions,recommended_action,reviewer_notes,disposition
detection:det_alert_001,detection,det_alert_001,environmental_alert,2,free,,,,both,Se abre la puerta.,,,,,,,,,spanish/detection/sergio/det_alert_001.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_001.mp3,spanish/detection/roma/det_alert_001.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_001.mp3,,,,,public_transit_alert,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_alert_002,detection,det_alert_002,environmental_alert,2,free,,,,both,Última parada.,,,,,,,,,spanish/detection/sergio/det_alert_002.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_002.mp3,spanish/detection/roma/det_alert_002.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_002.mp3,,,,,public_transit_alert,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_alert_003,detection,det_alert_003,environmental_alert,2,free,,,,both,"Su número, cuarenta y dos.",,,,,,,,,spanish/detection/sergio/det_alert_003.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_003.mp3,spanish/detection/roma/det_alert_003.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_003.mp3,,,,,queue_callout,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_alert_004,detection,det_alert_004,environmental_alert,2,free,,,,both,Receta lista.,,,,,,,,,spanish/detection/sergio/det_alert_004.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_004.mp3,spanish/detection/roma/det_alert_004.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_004.mp3,,,,,pharmacy_alert,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_alert_005,detection,det_alert_005,environmental_alert,3,free,,,,both,"Cuidado, vehículo atrás.",,,,,,,,,spanish/detection/sergio/det_alert_005.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_005.mp3,spanish/detection/roma/det_alert_005.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_005.mp3,,,,,safety_alert,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_alert_006,detection,det_alert_006,environmental_alert,2,free,,,,both,Atención por favor.,,,,,,,,,spanish/detection/sergio/det_alert_006.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_006.mp3,spanish/detection/roma/det_alert_006.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_006.mp3,,,,,attention_signal,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_alert_007,detection,det_alert_007,environmental_alert,3,free,,,,both,Pasajeros al tren.,,,,,,,,,spanish/detection/sergio/det_alert_007.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_007.mp3,spanish/detection/roma/det_alert_007.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_007.mp3,,,,,station_call,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_alert_008,detection,det_alert_008,environmental_alert,2,free,,,,both,Turno siguiente.,,,,,,,,,spanish/detection/sergio/det_alert_008.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_alert_008.mp3,spanish/detection/roma/det_alert_008.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_alert_008.mp3,,,,,queue_callout,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_speech_001,detection,det_speech_001,speech_token,1,free,,,,both,mamá,,,,,,,,,spanish/detection/sergio/det_speech_001.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_speech_001.mp3,spanish/detection/roma/det_speech_001.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_speech_001.mp3,,,,,low_frequency_voicing,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
detection:det_speech_002,detection,det_speech_002,speech_token,1,free,,,,both,uno,,,,,,,,,spanish/detection/sergio/det_speech_002.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/sergio/det_speech_002.mp3,spanish/detection/roma/det_speech_002.mp3,https://padfntxzoxhozfjsqnzc.supabase.co/storage/v1/object/public/audio/spanish/detection/roma/det_speech_002.mp3,,,,,low_back_vowel,"Is the cue audible, natural, and free of carrier contamination in both voices?",pass_or_flag,,
