source_pack_id,source_row_id,source_pack_name,contrast_type,difficulty,tier,position,target_phoneme_en,contrast_phoneme_en,target_phoneme_es_current,contrast_phoneme_es_current,word_1_en,word_1_es_current,word_2_en,word_2_es_current,clinical_note_en,clinical_note_es_current,review_decision,approved_word_1_es,approved_word_2_es,approved_target_phoneme_es,approved_contrast_phoneme_es,approved_clinical_note_es,review_notes
pack_e_vs_ae,drill_eae_001,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,bet,apuesta,bat,murciélago,Mid vs low front,Frente medio vs bajo,pending,,,,,,
pack_e_vs_ae,drill_eae_002,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,pen,bolígrafo,pan,cacerola,Common pair,par común,pending,,,,,,
pack_e_vs_ae,drill_eae_003,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,bed,cama,bad,malo,High frequency,Frecuencia alta,pending,,,,,,
pack_e_vs_ae,drill_eae_004,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,set,colocar,sat,se sentó,Verb tense,tiempo verbal,pending,,,,,,
pack_e_vs_ae,drill_eae_005,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,met,conoció,mat,estera,Common words,Palabras comunes,pending,,,,,,
pack_e_vs_ae,drill_eae_006,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,head,cabeza,had,tenía,High frequency,Frecuencia alta,pending,,,,,,
pack_e_vs_ae,drill_eae_007,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,let,dejar,lat,latitud,L-initial,L-inicial,pending,,,,,,
pack_e_vs_ae,drill_eae_008,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,men,hombres,man,hombre,Plural vs singular,Plural versus singular,pending,,,,,,
pack_e_vs_ae,drill_eae_009,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,pet,mascota,pat,palmadita,Clear contrast,Claro contraste,pending,,,,,,
pack_e_vs_ae,drill_eae_010,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,ten,diez,tan,broncearse,Number vs color,Número vs color,pending,,,,,,
pack_e_vs_ae,drill_eae_011,Vowels: /E/ vs /ae/,height,4,free,medial,/ɛ/,/æ/,nan,nan,trek,emigrar,track,pista,Cluster initial,Inicial del cluster,pending,,,,,,
pack_e_vs_ae,drill_eae_012,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,send,enviar,sand,arena,Common words,Palabras comunes,pending,,,,,,
pack_e_vs_ae,drill_eae_013,Vowels: /E/ vs /ae/,height,4,free,medial,/ɛ/,/æ/,nan,nan,mesh,malla,mash,mezcla,SH-final,SH-final,pending,,,,,,
pack_e_vs_ae,drill_eae_014,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,peck,picotear,pack,embalar,K-final,K-final,pending,,,,,,
pack_e_vs_ae,drill_eae_015,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,leg,pierna,lag,retraso,G-final,G-final,pending,,,,,,
pack_e_vs_ae,drill_eae_016,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,gem,joya,jam,atasco,Affricate initial,Inicial africana,pending,,,,,,
pack_e_vs_ae,drill_eae_017,Vowels: /E/ vs /ae/,height,4,free,medial,/ɛ/,/æ/,nan,nan,deck,cubierta,dack,papá,Less common pair,pareja menos común,pending,,,,,,
pack_e_vs_ae,drill_eae_018,Vowels: /E/ vs /ae/,height,4,free,medial,/ɛ/,/æ/,nan,nan,wed,casarse,wad,taco,W-initial,W-inicial,pending,,,,,,
pack_e_vs_ae,drill_eae_019,Vowels: /E/ vs /ae/,height,4,free,medial,/ɛ/,/æ/,nan,nan,less,menos,lass,muchacha,S-final,S-final,pending,,,,,,
pack_e_vs_ae,drill_eae_020,Vowels: /E/ vs /ae/,height,3,free,medial,/ɛ/,/æ/,nan,nan,said,dicho,sad,triste,Common contrast,Contraste común,pending,,,,,,
