word_1,word_2,contrast_category,phoneme_1_ipa,phoneme_2_ipa,contrast_position
"Pat","Bat","Consonant Voicing","/p/","/b/","Initial"
"Pear","Bear","Consonant Voicing","/p/","/b/","Initial"
"Pack","Back","Consonant Voicing","/p/","/b/","Initial"
"Pet","Bet","Consonant Voicing","/p/","/b/","Initial"
"Pill","Bill","Consonant Voicing","/p/","/b/","Initial"
"Pin","Bin","Consonant Voicing","/p/","/b/","Initial"
"Pie","Buy","Consonant Voicing","/p/","/b/","Initial"
"Pond","Bond","Consonant Voicing","/p/","/b/","Initial"
"Pike","Bike","Consonant Voicing","/p/","/b/","Initial"
"Pail","Bail","Consonant Voicing","/p/","/b/","Initial"
"Peach","Beach","Consonant Voicing","/p/","/b/","Initial"
"Pest","Best","Consonant Voicing","/p/","/b/","Initial"
"Pug","Bug","Consonant Voicing","/p/","/b/","Initial"
"Pad","Bad","Consonant Voicing","/p/","/b/","Initial"
"Park","Bark","Consonant Voicing","/p/","/b/","Initial"
"Peg","Beg","Consonant Voicing","/p/","/b/","Initial"
"Pit","Bit","Consonant Voicing","/p/","/b/","Initial"
"Pole","Bowl","Consonant Voicing","/p/","/b/","Initial"
"Pout","Bout","Consonant Voicing","/p/","/b/","Initial"
"Puff","Buff","Consonant Voicing","/p/","/b/","Initial"
"Pull","Bull","Consonant Voicing","/p/","/b/","Initial"
"Pump","Bump","Consonant Voicing","/p/","/b/","Initial"
"Punch","Bunch","Consonant Voicing","/p/","/b/","Initial"
"Push","Bush","Consonant Voicing","/p/","/b/","Initial"
"Putt","Butt","Consonant Voicing","/p/","/b/","Initial"
"Cap","Cab","Consonant Voicing","/p/","/b/","Final"
"Rope","Robe","Consonant Voicing","/p/","/b/","Final"
"Rip","Rib","Consonant Voicing","/p/","/b/","Final"
"Lap","Lab","Consonant Voicing","/p/","/b/","Final"
"Mop","Mob","Consonant Voicing","/p/","/b/","Final"
"Tap","Tab","Consonant Voicing","/p/","/b/","Final"
"Cop","Cob","Consonant Voicing","/p/","/b/","Final"
"Cup","Cub","Consonant Voicing","/p/","/b/","Final"
"Nap","Nab","Consonant Voicing","/p/","/b/","Final"
"Slap","Slab","Consonant Voicing","/p/","/b/","Final"
"Stop","Stob","Consonant Voicing","/p/","/b/","Final"
"Harp","Harb","Consonant Voicing","/p/","/b/","Final"
"Time","Dime","Consonant Voicing","/t/","/d/","Initial"
"Ten","Den","Consonant Voicing","/t/","/d/","Initial"
"Tip","Dip","Consonant Voicing","/t/","/d/","Initial"
"Toe","Doe","Consonant Voicing","/t/","/d/","Initial"
"Town","Down","Consonant Voicing","/t/","/d/","Initial"
"Tale","Dale","Consonant Voicing","/t/","/d/","Initial"
"Tug","Dug","Consonant Voicing","/t/","/d/","Initial"
"Tear","Dear","Consonant Voicing","/t/","/d/","Initial"
"Teal","Deal","Consonant Voicing","/t/","/d/","Initial"
"Tame","Dame","Consonant Voicing","/t/","/d/","Initial"
"Tan","Dan","Consonant Voicing","/t/","/d/","Initial"
"Tart","Dart","Consonant Voicing","/t/","/d/","Initial"
"Team","Deem","Consonant Voicing","/t/","/d/","Initial"
"Tell","Dell","Consonant Voicing","/t/","/d/","Initial"
"Tent","Dent","Consonant Voicing","/t/","/d/","Initial"
"Tide","Died","Consonant Voicing","/t/","/d/","Initial"
"Tie","Die","Consonant Voicing","/t/","/d/","Initial"
"Till","Dill","Consonant Voicing","/t/","/d/","Initial"
"Tine","Dine","Consonant Voicing","/t/","/d/","Initial"
"Toll","Dole","Consonant Voicing","/t/","/d/","Initial"
"Tore","Door","Consonant Voicing","/t/","/d/","Initial"
"Tote","Dote","Consonant Voicing","/t/","/d/","Initial"
"Touch","Dutch","Consonant Voicing","/t/","/d/","Initial"
"Train","Drain","Consonant Voicing","/t/","/d/","Initial"
"Tramp","Damp","Consonant Voicing","/t/","/d/","Initial"
"Tread","Dread","Consonant Voicing","/t/","/d/","Initial"
"Tress","Dress","Consonant Voicing","/t/","/d/","Initial"
"Trip","Drip","Consonant Voicing","/t/","/d/","Initial"
"True","Drew","Consonant Voicing","/t/","/d/","Initial"
"Trunk","Drunk","Consonant Voicing","/t/","/d/","Initial"
"Try","Dry","Consonant Voicing","/t/","/d/","Initial"
"Tuck","Duck","Consonant Voicing","/t/","/d/","Initial"
"Tune","Dune","Consonant Voicing","/t/","/d/","Initial"
"Tusk","Dusk","Consonant Voicing","/t/","/d/","Initial"
"Bet","Bed","Consonant Voicing","/t/","/d/","Final"
"Bit","Bid","Consonant Voicing","/t/","/d/","Final"
"Hurt","Heard","Consonant Voicing","/t/","/d/","Final"
"Neat","Need","Consonant Voicing","/t/","/d/","Final"
"Sent","Send","Consonant Voicing","/t/","/d/","Final"
"Write","Ride","Consonant Voicing","/t/","/d/","Final"
"Coat","Code","Consonant Voicing","/t/","/d/","Final"
"Cart","Card","Consonant Voicing","/t/","/d/","Final"
"Seat","Seed","Consonant Voicing","/t/","/d/","Final"
"Bite","Bide","Consonant Voicing","/t/","/d/","Final"
"Feet","Feed","Consonant Voicing","/t/","/d/","Final"
"Bent","Bend","Consonant Voicing","/t/","/d/","Final"
"Lent","Lend","Consonant Voicing","/t/","/d/","Final"
"Rate","Raid","Consonant Voicing","/t/","/d/","Final"
"Mate","Made","Consonant Voicing","/t/","/d/","Final"
"Sight","Side","Consonant Voicing","/t/","/d/","Final"
"Bat","Bad","Consonant Voicing","/t/","/d/","Final"
"Bait","Bade","Consonant Voicing","/t/","/d/","Final"
"Bright","Bride","Consonant Voicing","/t/","/d/","Final"
"Cat","Cad","Consonant Voicing","/t/","/d/","Final"
"Date","Dade","Consonant Voicing","/t/","/d/","Final"
"Fat","Fad","Consonant Voicing","/t/","/d/","Final"
"Gait","Gade","Consonant Voicing","/t/","/d/","Final"
"Goat","Goad","Consonant Voicing","/t/","/d/","Final"
"Grit","Grid","Consonant Voicing","/t/","/d/","Final"
"Hate","Hade","Consonant Voicing","/t/","/d/","Final"
"Heat","Heed","Consonant Voicing","/t/","/d/","Final"
"Hit","Hid","Consonant Voicing","/t/","/d/","Final"
"Hut","Hud","Consonant Voicing","/t/","/d/","Final"
"Kit","Kid","Consonant Voicing","/t/","/d/","Final"
"Late","Lade","Consonant Voicing","/t/","/d/","Final"
"Let","Led","Consonant Voicing","/t/","/d/","Final"
"Lit","Lid","Consonant Voicing","/t/","/d/","Final"
"Mat","Mad","Consonant Voicing","/t/","/d/","Final"
"Meet","Mead","Consonant Voicing","/t/","/d/","Final"
"Mutt","Mud","Consonant Voicing","/t/","/d/","Final"
"Net","Ned","Consonant Voicing","/t/","/d/","Final"
"Not","Nod","Consonant Voicing","/t/","/d/","Final"
"Oat","Owed","Consonant Voicing","/t/","/d/","Final"
"Pat","Pad","Consonant Voicing","/t/","/d/","Final"
"Plot","Plod","Consonant Voicing","/t/","/d/","Final"
"Pot","Pod","Consonant Voicing","/t/","/d/","Final"
"Rat","Rad","Consonant Voicing","/t/","/d/","Final"
"Rent","Rend","Consonant Voicing","/t/","/d/","Final"
"Root","Rood","Consonant Voicing","/t/","/d/","Final"
"Rot","Rod","Consonant Voicing","/t/","/d/","Final"
"Set","Said","Consonant Voicing","/t/","/d/","Final"
"Shot","Shod","Consonant Voicing","/t/","/d/","Final"
"Sit","Sid","Consonant Voicing","/t/","/d/","Final"
"Slate","Slade","Consonant Voicing","/t/","/d/","Final"
"Slit","Slid","Consonant Voicing","/t/","/d/","Final"
"Suit","Sued","Consonant Voicing","/t/","/d/","Final"
"Taut","Todd","Consonant Voicing","/t/","/d/","Final"
"Teat","Teed","Consonant Voicing","/t/","/d/","Final"
"Tent","Tend","Consonant Voicing","/t/","/d/","Final"
"Tote","Toad","Consonant Voicing","/t/","/d/","Final"
"Vent","Vend","Consonant Voicing","/t/","/d/","Final"
"Wait","Wade","Consonant Voicing","/t/","/d/","Final"
