source_pack_id,source_row_id,source_pack_name,difficulty,tier,position,proposed_pack_id,proposed_pack_name,proposed_target_phoneme_es,proposed_contrast_phoneme_es,clinical_goal,candidate_slot,proposed_word_1_es,proposed_word_2_es,lexical_naturalness_notes,regional_notes,approval_status
pack_ch_vs_j,drill_chdj_001,Voicing: /tʃ/ vs /dʒ/,2,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,1,,,,,draft
pack_ch_vs_j,drill_chdj_002,Voicing: /tʃ/ vs /dʒ/,3,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,2,,,,,draft
pack_ch_vs_j,drill_chdj_003,Voicing: /tʃ/ vs /dʒ/,3,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,3,,,,,draft
pack_ch_vs_j,drill_chdj_004,Voicing: /tʃ/ vs /dʒ/,2,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,4,,,,,draft
pack_ch_vs_j,drill_chdj_005,Voicing: /tʃ/ vs /dʒ/,2,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,5,,,,,draft
pack_ch_vs_j,drill_chdj_006,Voicing: /tʃ/ vs /dʒ/,2,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,6,,,,,draft
pack_ch_vs_j,drill_chdj_007,Voicing: /tʃ/ vs /dʒ/,3,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,7,,,,,draft
pack_ch_vs_j,drill_chdj_008,Voicing: /tʃ/ vs /dʒ/,2,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,8,,,,,draft
pack_ch_vs_j,drill_chdj_009,Voicing: /tʃ/ vs /dʒ/,2,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,9,,,,,draft
pack_ch_vs_j,drill_chdj_010,Voicing: /tʃ/ vs /dʒ/,2,free,initial,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,10,,,,,draft
pack_ch_vs_j,drill_chdj_011,Voicing: /tʃ/ vs /dʒ/,2,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,11,,,,,draft
pack_ch_vs_j,drill_chdj_012,Voicing: /tʃ/ vs /dʒ/,2,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,12,,,,,draft
pack_ch_vs_j,drill_chdj_013,Voicing: /tʃ/ vs /dʒ/,3,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,13,,,,,draft
pack_ch_vs_j,drill_chdj_014,Voicing: /tʃ/ vs /dʒ/,3,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,14,,,,,draft
pack_ch_vs_j,drill_chdj_015,Voicing: /tʃ/ vs /dʒ/,2,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,15,,,,,draft
pack_ch_vs_j,drill_chdj_016,Voicing: /tʃ/ vs /dʒ/,3,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,16,,,,,draft
pack_ch_vs_j,drill_chdj_017,Voicing: /tʃ/ vs /dʒ/,3,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,17,,,,,draft
pack_ch_vs_j,drill_chdj_018,Voicing: /tʃ/ vs /dʒ/,3,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,18,,,,,draft
pack_ch_vs_j,drill_chdj_019,Voicing: /tʃ/ vs /dʒ/,2,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,19,,,,,draft
pack_ch_vs_j,drill_chdj_020,Voicing: /tʃ/ vs /dʒ/,3,free,final,pack_es_tch_vs_ye,Affricate Contrast: /tʃ/ vs /ʝ/,/tʃ/,/ʝ/,Spanish-native affricate versus palatal contrast,20,,,,,draft
