sentence_text,target_keyword,target_phoneme,question_text,correct_answer,acoustic_foil,semantic_foil,scenario,difficulty
The nurse checked my blood pressure.,Pressure,/pr/,What did the nurse check?,Pressure,Treasure,Temperature,Medical,2
Take one tablet every morning.,Tablet,/t/,What should you take?,Tablet,Table,Pill,Medical,1
The doctor will see you now.,Doctor,/d/,Who will see you?,Doctor,Proctor,Nurse,Medical,1
Please roll up your sleeve.,Sleeve,/sl/,What should I roll up?,Sleeve,Leave,Arm,Medical,2
Your prescription is ready for pickup.,Prescription,/pr/,What is ready?,Prescription,Description,Medication,Medical,3
The pharmacy opens at nine.,Pharmacy,/f/,What opens at nine?,Pharmacy,Harmony,Drugstore,Medical,2
I need a refill on my medicine.,Refill,/r/,What do I need?,Refill,Landfill,New bottle,Medical,2
The waiting room is full today.,Waiting,/w/,What room is full?,Waiting,Wading,Reception,Medical,2
Schedule a follow up appointment.,Follow,/f/,What kind of appointment?,Follow,Hollow,Next,Medical,2
The injection might sting briefly.,Injection,/dʒ/,What might sting?,Injection,Objection,Shot,Medical,3
Your temperature is slightly elevated.,Temperature,/t/,What is elevated?,Temperature,Temper,Fever,Medical,3
Please breathe deeply and hold.,Breathe,/br/,What should I do?,Breathe,Breathed,Inhale,Medical,2
The results will arrive by mail.,Results,/r/,What will arrive?,Results,Insults,Report,Medical,2
Apply the cream twice daily.,Cream,/kr/,What should I apply?,Cream,Dream,Ointment,Medical,2
The surgeon explained the procedure.,Surgeon,/s/,Who explained it?,Surgeon,Sturgeon,Doctor,Medical,3
I feel dizzy when I stand.,Dizzy,/d/,How do I feel?,Dizzy,Fizzy,Lightheaded,Medical,2
The bandage needs to be changed.,Bandage,/b/,What needs changing?,Bandage,Damage,Dressing,Medical,2
Drink plenty of fluids today.,Fluids,/fl/,What should I drink?,Fluids,Floods,Liquids,Medical,2
The clinic is closed on weekends.,Clinic,/k/,What is closed?,Clinic,Cynic,Office,Medical,2
Please complete this health form.,Health,/h/,What kind of form?,Health,Wealth,Medical,Medical,2
Your insurance covers this visit.,Insurance,/ʃ/,What covers this?,Insurance,Assurance,Coverage,Medical,3
The symptoms started three days ago.,Symptoms,/s/,What started?,Symptoms,Systems,Signs,Medical,3
Take the medicine with food.,Medicine,/m/,What should you take?,Medicine,Madeline,Medication,Medical,1
