source_pack_id,source_row_id,source_pack_name,contrast_type,difficulty,tier,position,target_phoneme_en,contrast_phoneme_en,target_phoneme_es_current,contrast_phoneme_es_current,word_1_en,word_1_es_current,word_2_en,word_2_es_current,clinical_note_en,clinical_note_es_current,review_decision,approved_word_1_es,approved_word_2_es,approved_target_phoneme_es,approved_contrast_phoneme_es,approved_clinical_note_es,review_notes
pack_f_vs_v,drill_fv_001,Voicing: /f/ vs /v/,voicing,2,free,initial,/f/,/v/,nan,nan,fan,admirador,van,furgoneta,Clear fricative contrast,Claro contraste fricativo,pending,,,,,,
pack_f_vs_v,drill_fv_002,Voicing: /f/ vs /v/,voicing,2,free,initial,/f/,/v/,nan,nan,fine,bien,vine,enredadera,Diphthong context,Contexto diptongo,pending,,,,,,
pack_f_vs_v,drill_fv_003,Voicing: /f/ vs /v/,voicing,2,free,initial,/f/,/v/,nan,nan,fast,rápido,vast,vasto,Cluster ending,Final del grupo,pending,,,,,,
pack_f_vs_v,drill_fv_004,Voicing: /f/ vs /v/,voicing,3,free,initial,/f/,/v/,nan,nan,fail,fallar,veil,velo,Less common pair,pareja menos común,pending,,,,,,
pack_f_vs_v,drill_fv_005,Voicing: /f/ vs /v/,voicing,2,free,initial,/f/,/v/,nan,nan,few,pocos,view,vista,Y-glide context,Contexto de deslizamiento en Y,pending,,,,,,
pack_f_vs_v,drill_fv_006,Voicing: /f/ vs /v/,voicing,3,free,initial,/f/,/v/,nan,nan,fear,miedo,veer,virar,R-colored vowel,vocal de color R,pending,,,,,,
pack_f_vs_v,drill_fv_007,Voicing: /f/ vs /v/,voicing,2,free,initial,/f/,/v/,nan,nan,ferry,transportar,very,muy,Two-syllable pair,par de dos sílabas,pending,,,,,,
pack_f_vs_v,drill_fv_008,Voicing: /f/ vs /v/,voicing,3,free,initial,/f/,/v/,nan,nan,file,archivo,vile,vil,Diphthong with L,Diptongo con L,pending,,,,,,
pack_f_vs_v,drill_fv_009,Voicing: /f/ vs /v/,voicing,3,free,initial,/f/,/v/,nan,nan,fender,defensa,vendor,proveedor,Two-syllable,dos sílabas,pending,,,,,,
pack_f_vs_v,drill_fv_010,Voicing: /f/ vs /v/,voicing,3,free,initial,/f/,/v/,nan,nan,foul,falta,vowel,vocal,Diphthong pair,par de diptongos,pending,,,,,,
pack_f_vs_v,drill_fv_011,Voicing: /f/ vs /v/,voicing,2,free,final,/f/,/v/,nan,nan,leaf,hoja,leave,dejar,Final fricative voicing,Voz fricativa final,pending,,,,,,
pack_f_vs_v,drill_fv_012,Voicing: /f/ vs /v/,voicing,2,free,final,/f/,/v/,nan,nan,safe,seguro,save,ahorrar,Common pair,par común,pending,,,,,,
pack_f_vs_v,drill_fv_013,Voicing: /f/ vs /v/,voicing,2,free,final,/f/,/v/,/f/,/b/,half,foca,halve,boca,Familiar words,Sustitución española del pack inglés: contraste labial frecuente /f/ vs /b/,pending,,,,,,
pack_f_vs_v,drill_fv_014,Voicing: /f/ vs /v/,voicing,3,free,final,/f/,/v/,nan,nan,proof,prueba,prove,probar,Long vowel context,Contexto de vocal larga,pending,,,,,,
pack_f_vs_v,drill_fv_015,Voicing: /f/ vs /v/,voicing,3,free,final,/f/,/v/,nan,nan,calf,becerro,calve,parir,Less common,Menos común,pending,,,,,,
pack_f_vs_v,drill_fv_016,Voicing: /f/ vs /v/,voicing,4,free,final,/f/,/v/,nan,nan,strife,lucha,strive,esforzarse,Cluster initial,Inicial del cluster,pending,,,,,,
pack_f_vs_v,drill_fv_017,Voicing: /f/ vs /v/,voicing,3,free,final,/f/,/v/,nan,nan,belief,creencia,believe,creer,Two-syllable pair,par de dos sílabas,pending,,,,,,
pack_f_vs_v,drill_fv_018,Voicing: /f/ vs /v/,voicing,3,free,final,/f/,/v/,nan,nan,grief,dolor,grieve,afligirse,Cluster initial final,Clúster inicial final,pending,,,,,,
pack_f_vs_v,drill_fv_019,Voicing: /f/ vs /v/,voicing,4,free,final,/f/,/v/,nan,nan,serf,siervo,serve,atender,R-colored vowel,vocal de color R,pending,,,,,,
pack_f_vs_v,drill_fv_020,Voicing: /f/ vs /v/,voicing,2,free,final,/f/,/v/,nan,nan,life,vida,live,vivir,Common pair,par común,pending,,,,,,
