scenario_id,title_en,description_en,difficulty,tier,category,noise_type,source_row_id,source_language,target_language,translation_status,title_es,description_es
scn_grocery_checkout,Grocery Checkout,Paying for groceries at the supermarket,2,free,shopping,grocery_store_ambient,scn_grocery_checkout,en,es,machine_translated,Caja de comestibles,Pagar la compra en el supermercado
scn_pharmacy_pickup,Pharmacy Pickup,Picking up a prescription at the pharmacy,3,free,medical,medical_office_ambient,scn_pharmacy_pickup,en,es,machine_translated,Recogida en farmacia,Recoger una receta en la farmacia
scn_restaurant_order,Restaurant Ordering,Ordering food at a casual restaurant,2,free,dining,restaurant_moderate,scn_restaurant_order,en,es,machine_translated,Pedidos en restaurantes,Pedir comida en un restaurante informal
scn_bank_transaction,Bank Transaction,Making a deposit at the bank teller,3,standard,errands,speech_shaped_steady,scn_bank_transaction,en,es,machine_translated,Transacción bancaria,Hacer un depósito en el cajero del banco
scn_bus_directions,Bus Directions,Asking the driver for route information,3,standard,transit,transit_ambient,scn_bus_directions,en,es,machine_translated,Direcciones de autobús,Pedirle al conductor información sobre la ruta
scn_appointment_checkin,Appointment Check-in,Checking in at a medical office,3,free,medical,medical_office_ambient,scn_appointment_checkin,en,es,machine_translated,Registro de cita,Registrarse en un consultorio médico
scn_hair_salon,Hair Salon Visit,Describing the haircut you want,2,standard,services,babble_8talker_cafeteria,scn_hair_salon,en,es,machine_translated,Visita a la peluquería,Describiendo el corte de pelo que deseas
scn_dry_cleaner,Dry Cleaner Pickup,Picking up clothes from the dry cleaner,2,standard,errands,speech_shaped_steady,scn_dry_cleaner,en,es,machine_translated,Recogida en tintorería,Recoger ropa de la tintorería
scn_post_office,Post Office Visit,Mailing a package at the post office,3,standard,errands,speech_shaped_steady,scn_post_office,en,es,machine_translated,Visita a la oficina de correos,Enviar un paquete por correo en la oficina de correos
scn_gym_signup,Gym Membership,Signing up for a gym membership,3,standard,services,babble_8talker_cafeteria,scn_gym_signup,en,es,machine_translated,Membresía de gimnasio,Registrarse para obtener una membresía de gimnasio
scn_car_service,Car Service,Dropping off car for maintenance,3,premium,services,speech_shaped_steady,scn_car_service,en,es,machine_translated,Servicio de coche,Dejar el coche para mantenimiento
scn_hotel_checkin,Hotel Check-in,Checking into a hotel room,2,standard,travel,speech_shaped_steady,scn_hotel_checkin,en,es,machine_translated,Registro en el hotel,Registrarse en una habitación de hotel
scn_library_help,Library Assistance,Asking for help finding a book,2,free,services,speech_shaped_modulated,scn_library_help,en,es,machine_translated,Asistencia bibliotecaria,Pidiendo ayuda para encontrar un libro
scn_bakery_order,Bakery Order,Ordering pastries at a bakery,2,standard,shopping,restaurant_moderate,scn_bakery_order,en,es,machine_translated,Orden de panadería,Pedir pasteles en una panadería
scn_tech_support,Tech Support Call,Getting help with a device issue,4,premium,phone,speech_shaped_steady,scn_tech_support,en,es,machine_translated,Llamada de soporte técnico,Obtener ayuda con un problema con el dispositivo
scn_insurance_call,Insurance Inquiry,Calling about insurance coverage,4,premium,phone,speech_shaped_steady,scn_insurance_call,en,es,machine_translated,Consulta de seguro,Llamar sobre cobertura de seguro
scn_flight_checkin,Airport Check-in,Checking in at the airport counter,3,standard,travel,babble_8talker_cafeteria,scn_flight_checkin,en,es,machine_translated,Facturación en el aeropuerto,Facturación en el mostrador del aeropuerto
scn_car_rental,Car Rental Pickup,Picking up a rental car,3,premium,travel,speech_shaped_steady,scn_car_rental,en,es,machine_translated,Recogida de coches de alquiler,Recoger un coche de alquiler
