sentence_text_en,target_keyword,target_phoneme,question_text_en,correct_answer_en,acoustic_foil_en,semantic_foil_en,scenario,difficulty,source_row_id,source_language,target_language,translation_status,sentence_text_es,question_text_es,correct_answer_es,acoustic_foil_es,semantic_foil_es
The nurse checked my blood pressure.,Pressure,/pr/,What did the nurse check?,Pressure,Treasure,Temperature,Medical,2,1,en,es,machine_translated,La enfermera me controló la presión arterial.,¿Qué revisó la enfermera?,Presión,Tesoro,Temperatura
Take one tablet every morning.,Tablet,/t/,What should you take?,Tablet,Table,Pill,Medical,1,2,en,es,machine_translated,Tome un comprimido cada mañana.,¿Qué deberías tomar?,Tableta,Mesa,Píldora
The doctor will see you now.,Doctor,/d/,Who will see you?,Doctor,Proctor,Nurse,Medical,1,3,en,es,machine_translated,El médico lo verá ahora.,¿Quién te verá?,Doctor,Procurador,Enfermero
Please roll up your sleeve.,Sleeve,/sl/,What should I roll up?,Sleeve,Leave,Arm,Medical,2,4,en,es,machine_translated,"Por favor, arremángate.",¿Qué debo enrollar?,Manga,Dejar,Brazo
Your prescription is ready for pickup.,Prescription,/pr/,What is ready?,Prescription,Description,Medication,Medical,3,5,en,es,machine_translated,Su receta está lista para ser recogida.,¿Qué está listo?,Prescripción,Descripción,Medicamento
The pharmacy opens at nine.,Pharmacy,/f/,What opens at nine?,Pharmacy,Harmony,Drugstore,Medical,2,6,en,es,clinically_reviewed,La farmacia abre a las nueve.,¿Qué abre a las nueve?,Farmacia,Armonía,Clínica
I need a refill on my medicine.,Refill,/r/,What do I need?,Refill,Landfill,New bottle,Medical,2,7,en,es,machine_translated,Necesito un reabastecimiento de mi medicamento.,¿Qué necesito?,Rellenar,Vertedero,botella nueva
The waiting room is full today.,Waiting,/w/,What room is full?,Waiting,Wading,Reception,Medical,2,8,en,es,machine_translated,La sala de espera está llena hoy.,¿Qué sala está llena?,Espera,vadeando,Recepción
Schedule a follow up appointment.,Follow,/f/,What kind of appointment?,Follow,Hollow,Next,Medical,2,9,en,es,machine_translated,Programe una cita de seguimiento.,¿Qué tipo de cita?,Seguir,Hueco,Próximo
The injection might sting briefly.,Injection,/dʒ/,What might sting?,Injection,Objection,Shot,Medical,3,10,en,es,machine_translated,La inyección podría picar brevemente.,¿Qué podría picar?,Inyección,Objeción,Disparo
Your temperature is slightly elevated.,Temperature,/t/,What is elevated?,Temperature,Temper,Fever,Medical,3,11,en,es,machine_translated,Tu temperatura está ligeramente elevada.,¿Qué es elevado?,Temperatura,Temperamento,Fiebre
Please breathe deeply and hold.,Breathe,/br/,What should I do?,Breathe,Breathed,Inhale,Medical,2,12,en,es,machine_translated,Por favor respire profundamente y sostenga.,¿Qué tengo que hacer?,Respirar,respirado,Inhalar
The results will arrive by mail.,Results,/r/,What will arrive?,Results,Insults,Report,Medical,2,13,en,es,machine_translated,Los resultados llegarán por correo.,¿Qué llegará?,Resultados,Insultos,Informe
Apply the cream twice daily.,Cream,/kr/,What should I apply?,Cream,Dream,Ointment,Medical,2,14,en,es,machine_translated,Aplicar la crema dos veces al día.,¿Qué debo aplicar?,Crema,Sueño,Ungüento
The surgeon explained the procedure.,Surgeon,/s/,Who explained it?,Surgeon,Sturgeon,Doctor,Medical,3,15,en,es,machine_translated,El cirujano le explicó el procedimiento.,¿Quién lo explicó?,Cirujano,Esturión,Doctor
I feel dizzy when I stand.,Dizzy,/d/,How do I feel?,Dizzy,Fizzy,Lightheaded,Medical,2,16,en,es,clinically_reviewed,Me siento mareado cuando me levanto.,¿Cómo me siento?,Mareado,Gaseoso,Débil
The bandage needs to be changed.,Bandage,/b/,What needs changing?,Bandage,Damage,Dressing,Medical,2,17,en,es,clinically_reviewed,Es necesario cambiar el vendaje.,¿Qué necesita cambiar?,Vendaje,Daño,Gasa
Drink plenty of fluids today.,Fluids,/fl/,What should I drink?,Fluids,Floods,Liquids,Medical,2,18,en,es,machine_translated,Beba muchos líquidos hoy.,¿Qué debo beber?,fluidos,Inundaciones,Líquidos
The clinic is closed on weekends.,Clinic,/k/,What is closed?,Clinic,Cynic,Office,Medical,2,19,en,es,machine_translated,La clínica está cerrada los fines de semana.,¿Qué está cerrado?,Clínica,Cínico,Oficina
Please complete this health form.,Health,/h/,What kind of form?,Health,Wealth,Medical,Medical,2,20,en,es,machine_translated,Por favor complete este formulario de salud.,¿Qué tipo de forma?,Salud,Poder,Médico
Your insurance covers this visit.,Insurance,/ʃ/,What covers this?,Insurance,Assurance,Coverage,Medical,3,21,en,es,machine_translated,Su seguro cubre esta visita.,¿Qué cubre esto?,Seguro,Garantía,Cobertura
The symptoms started three days ago.,Symptoms,/s/,What started?,Symptoms,Systems,Signs,Medical,3,22,en,es,machine_translated,Los síntomas comenzaron hace tres días.,¿Qué empezó?,Síntomas,Sistemas,Señales
Take the medicine with food.,Medicine,/m/,What should you take?,Medicine,Madeline,Medication,Medical,1,23,en,es,clinically_reviewed,Tome el medicamento con comida.,¿Qué deberías tomar?,Medicamento,madeline,Vitaminas
The X ray shows no fracture.,Fracture,/fr/,What does it show?,Fracture,Fractal,Break,Medical,3,24,en,es,machine_translated,La radiografía no muestra fractura.,¿Qué muestra?,Fractura,fractales,Romper
Schedule your annual checkup soon.,Checkup,/ch/,What should you schedule?,Checkup,Ketchup,Exam,Medical,2,25,en,es,machine_translated,Programe pronto su chequeo anual.,¿Qué deberías programar?,Chequeo,Ketchup,Examen
The vaccine is recommended for adults.,Vaccine,/v/,What is recommended?,Vaccine,Machine,Shot,Medical,3,26,en,es,machine_translated,La vacuna se recomienda para adultos.,¿Qué se recomienda?,Vacuna,Máquina,Disparo
Please sign the consent form.,Consent,/k/,What kind of form?,Consent,Concept,Permission,Medical,3,27,en,es,machine_translated,Por favor firme el formulario de consentimiento.,¿Qué tipo de forma?,Consentir,Concepto,Permiso
The therapist will call you tomorrow.,Therapist,/θ/,Who will call?,Therapist,Rapist,Counselor,Medical,3,28,en,es,machine_translated,El terapeuta te llamará mañana.,¿Quién llamará?,Terapeuta,Violador,Consejero
Your blood work came back normal.,Blood,/b/,What came back normal?,Blood,Flood,Test,Medical,2,29,en,es,machine_translated,Tu análisis de sangre resultó normal.,¿Qué volvió a la normalidad?,Sangre,Inundación,Prueba
The hospital is on Oak Street.,Hospital,/h/,What is on Oak Street?,Hospital,Hospice,Clinic,Medical,2,30,en,es,machine_translated,El hospital está en Oak Street.,¿Qué hay en Oak Street?,Hospital,Hospicio,Clínica
Keep the wound clean and dry.,Wound,/w/,What should you keep clean?,Wound,Sound,Injury,Medical,2,31,en,es,machine_translated,Mantenga la herida limpia y seca.,¿Qué debes mantener limpio?,Herida,Sonido,Lesión
The specialist requires a referral.,Referral,/r/,What is required?,Referral,Deferral,Recommendation,Medical,3,32,en,es,machine_translated,El especialista requiere una derivación.,¿Qué se requiere?,Remisión,Aplazamiento,Recomendación
Swallow the pill with water.,Swallow,/sw/,What should you do?,Swallow,Shallow,Take,Medical,2,33,en,es,machine_translated,Trague la pastilla con agua.,¿Qué deberías hacer?,Tragar,Poco profundo,Llevar
The scale measures your weight.,Scale,/sk/,What measures weight?,Scale,Tale,Device,Medical,2,34,en,es,machine_translated,La báscula mide tu peso.,¿Qué mide el peso?,Escala,Cuento,Dispositivo
Please remove your glasses for the test.,Glasses,/g/,What should you remove?,Glasses,Classes,Eyewear,Medical,2,35,en,es,machine_translated,Por favor quítese las gafas para la prueba.,¿Qué deberías eliminar?,Anteojos,Clases,Gafas
Your heart rate is normal.,Heart,/h/,What is normal?,Heart,Art,Pulse,Medical,2,36,en,es,machine_translated,Tu frecuencia cardíaca es normal.,¿Qué es normal?,Corazón,Arte,Legumbres
The nurse will draw blood.,Draw,/dr/,What will the nurse do?,Draw,Raw,Take,Medical,2,37,en,es,machine_translated,La enfermera le extraerá sangre.,¿Qué hará la enfermera?,Dibujar,Crudo,Llevar
Bring your medication list to the visit.,Medication,/m/,What should you bring?,Medication,Meditation,Prescription,Medical,2,38,en,es,machine_translated,Lleve su lista de medicamentos a la visita.,¿Qué deberías traer?,Medicamento,Meditación,Prescripción
The physician reviewed your chart.,Physician,/f/,Who reviewed the chart?,Physician,Magician,Doctor,Medical,3,39,en,es,machine_translated,El médico revisó su expediente.,¿Quién revisó el cuadro?,Médico,Mago,Doctor
Rest your arm on the table.,Arm,/ɑ/,What should you rest?,Arm,Alarm,Elbow,Medical,1,40,en,es,machine_translated,Apoye su brazo sobre la mesa.,¿Qué debes descansar?,Brazo,Alarma,Codo
Take deep breaths during the exam.,Breaths,/br/,What should you take?,Breaths,Deaths,Inhales,Medical,2,41,en,es,machine_translated,Respire profundamente durante el examen.,¿Qué deberías tomar?,respiraciones,Fallecidos,Inhala
The allergy test was negative.,Allergy,/l/,What kind of test?,Allergy,Gallery,Sensitivity,Medical,3,42,en,es,machine_translated,La prueba de alergia fue negativa.,¿Qué tipo de prueba?,Alergia,Galería,Sensibilidad
Your vitals look excellent today.,Vitals,/v/,What looks excellent?,Vitals,Recitals,Signs,Medical,2,43,en,es,machine_translated,Tus signos vitales lucen excelentes hoy.,¿Qué se ve excelente?,Partes vitales,Considerandos,Señales
The emergency room is very busy.,Emergency,/ɛ/,What room is busy?,Emergency,Urgency,Critical,Medical,2,44,en,es,machine_translated,La sala de urgencias está muy ocupada.,¿Qué sala está ocupada?,Emergencia,Urgencia,Crítico
Please describe your symptoms clearly.,Describe,/d/,What should you do?,Describe,Prescribe,Explain,Medical,2,45,en,es,machine_translated,Por favor describa sus síntomas claramente.,¿Qué deberías hacer?,Describir,Prescribir,Explicar
