source_row_id,scenario,difficulty,issue,sentence_text_en,sentence_text_es,correct_answer_en,correct_answer_es,acoustic_foil_en,acoustic_foil_es,semantic_foil_en,semantic_foil_es,translation_status
296,Daily Life,1,semantic_foil_collapses_to_correct_answer,Please close the curtains.,"Por favor, cierra las cortinas.",Curtains,Cortinas,Certain,Cierto,Drapes,cortinas,machine_translated
319,Daily Life,2,semantic_foil_collapses_to_correct_answer,The pipe under the sink is leaking.,La tubería debajo del fregadero tiene una fuga.,Pipe,Tubo,Ripe,Maduro,Tube,Tubo,machine_translated
329,Daily Life,2,acoustic_foil_collapses_to_correct_answer,The bookshelf needs to be dusted.,Es necesario quitar el polvo de la estantería.,Bookshelf,Estante para libros,Book shelf,estante para libros,Furniture,Muebles,machine_translated
343,Daily Life,2,semantic_foil_collapses_to_correct_answer,The fireplace needs cleaning before winter.,La chimenea necesita limpieza antes del invierno.,Fireplace,Hogar,Fire place,Chimenea,Hearth,Hogar,machine_translated
345,Outdoors,2,acoustic_foil_collapses_to_correct_answer,The garden needs more sunlight.,El jardín necesita más luz solar.,Sunlight,Luz del sol,Sun light,luz del sol,Shade,Sombra,machine_translated
352,Outdoors,2,semantic_foil_collapses_to_correct_answer,The trail leads to the waterfall.,El sendero conduce a la cascada.,Trail,Camino,Rail,Carril,Path,Camino,machine_translated
353,Outdoors,2,acoustic_foil_collapses_to_correct_answer,The sunset was absolutely beautiful.,La puesta de sol fue absolutamente hermosa.,Sunset,Atardecer,Sun set,Atardecer,Evening,Noche,machine_translated
363,Outdoors,2,semantic_foil_collapses_to_correct_answer,The shade under the tree is nice.,La sombra bajo el árbol es agradable.,Shade,Sombra,Shape,Forma,Shadow,Sombra,machine_translated
383,Entertainment,2,acoustic_foil_collapses_to_correct_answer,The playlist includes my favorite songs.,La lista de reproducción incluye mis canciones favoritas.,Playlist,Lista de reproducción,Play list,lista de reproducción,Music,Música,machine_translated
386,Technology,2,acoustic_foil_collapses_to_correct_answer,The password must contain numbers.,La contraseña debe contener números.,Password,Contraseña,Pass word,Contraseña,Code,Código,machine_translated
387,Technology,2,acoustic_foil_collapses_to_correct_answer,The download will take ten minutes.,La descarga tardará diez minutos.,Download,Descargar,Down load,Descargar,Transfer,Transferir,machine_translated
388,Technology,2,acoustic_foil_collapses_to_correct_answer,The website crashed this morning.,El sitio web colapsó esta mañana.,Website,Sitio web,Web site,Sitio web,Page,Página,machine_translated
392,Technology,2,acoustic_foil_collapses_to_correct_answer,The keyboard shortcuts save time.,Los atajos de teclado ahorran tiempo.,Shortcuts,Atajos,Short cuts,Atajos,Keys,Llaves,machine_translated
394,Technology,2,acoustic_foil_collapses_to_correct_answer,The network is experiencing issues.,La red está experimentando problemas.,Network,Red,Net work,Red,System,Sistema,machine_translated
395,Technology,2,acoustic_foil_collapses_to_correct_answer,The cursor moves too slowly.,El cursor se mueve demasiado lento.,Cursor,Cursor,Curser,Cursor,Pointer,Puntero,machine_translated
398,Technology,2,acoustic_foil_collapses_to_correct_answer;semantic_foil_collapses_to_correct_answer,The headphones have good sound quality.,Los auriculares tienen buena calidad de sonido.,Headphones,Auriculares,Head phones,auriculares,Earbuds,Auriculares,machine_translated
399,Technology,2,acoustic_foil_collapses_to_correct_answer,The data backup runs automatically.,La copia de seguridad de los datos se ejecuta automáticamente.,Backup,Respaldo,Back up,Respaldo,Copy,Copiar,machine_translated
400,Technology,2,acoustic_foil_collapses_to_correct_answer,The touchscreen is very responsive.,La pantalla táctil responde muy bien.,Touchscreen,Pantalla táctil,Touch screen,pantalla táctil,Display,Mostrar,machine_translated
402,Technology,2,acoustic_foil_collapses_to_correct_answer,The webcam quality could be better.,La calidad de la cámara web podría ser mejor.,Webcam,cámara web,Web cam,cámara web,Camera,Cámara,machine_translated
414,Travel,2,semantic_foil_collapses_to_correct_answer,The baggage claim is on level one.,El reclamo de equipaje está en el nivel uno.,Baggage,equipaje,Cabbage,Repollo,Luggage,Equipaje,machine_translated
416,Travel,2,acoustic_foil_collapses_to_correct_answer,The seatbelt sign is illuminated.,La señal del cinturón de seguridad está iluminada.,Seatbelt,cinturón de seguridad,Seat belt,Cinturón de seguridad,Sign,Firmar,machine_translated
426,Transportation,2,acoustic_foil_collapses_to_correct_answer,The subway runs every five minutes.,El metro pasa cada cinco minutos.,Subway,Metro,Sub way,Metro,Train,Tren,machine_translated
436,Transportation,2,acoustic_foil_collapses_to_correct_answer,The crosswalk light just turned green.,El semáforo del paso de peatones acaba de ponerse verde.,Crosswalk,Paso de peatones,Cross walk,paso de peatones,Light,Luz,machine_translated
441,Transportation,2,acoustic_foil_collapses_to_correct_answer,The highway is under construction.,La carretera está en construcción.,Highway,Carretera,High way,Carretera,Road,Camino,machine_translated
442,Transportation,2,acoustic_foil_collapses_to_correct_answer,The rideshare pickup is downstairs.,La recogida en el viaje compartido está abajo.,Rideshare,Viaje compartido,Ride share,viaje compartido,Pickup,Levantar,machine_translated
445,Education,1,acoustic_foil_collapses_to_correct_answer,The homework is due tomorrow.,La tarea debe entregarse mañana.,Homework,Tarea,Home work,Tarea,Assignment,Asignación,machine_translated
446,Education,2,acoustic_foil_collapses_to_correct_answer,The textbook costs fifty dollars.,El libro de texto cuesta cincuenta dólares.,Textbook,Libro de texto,Text book,libro de texto,Book,Libro,machine_translated
447,Education,2,acoustic_foil_collapses_to_correct_answer,The professor cancelled class today.,El profesor canceló la clase hoy.,Professor,Profesor,Professor,Profesor,Teacher,Maestro,machine_translated
465,Cooking,2,acoustic_foil_collapses_to_correct_answer,The oven should preheat first.,El horno debe precalentarse primero.,Preheat,Precalentar,Pre heat,Precalentar,Warm up,Calentamiento,machine_translated
467,Cooking,1,acoustic_foil_collapses_to_correct_answer,The butter needs to be softened.,Es necesario ablandar la mantequilla.,Butter,Manteca,Butter,Manteca,Margarine,Margarina,machine_translated
483,Cooking,2,acoustic_foil_collapses_to_correct_answer,The leftovers go in the refrigerator.,Las sobras van al frigorífico.,Leftovers,Sobras,Left overs,sobras,Fridge,Refrigerador,machine_translated
485,Automotive,2,semantic_foil_collapses_to_correct_answer,The engine needs new oil.,El motor necesita aceite nuevo.,Engine,Motor,Penguin,Pingüino,Motor,Motor,machine_translated
500,Automotive,2,acoustic_foil_collapses_to_correct_answer,The dashboard warning light came on.,Se encendió el testigo del tablero.,Dashboard,Panel,Dash board,Panel,Display,Mostrar,machine_translated
503,Automotive,3,acoustic_foil_collapses_to_correct_answer,The antifreeze level is low.,El nivel de anticongelante es bajo.,Antifreeze,Anticongelante,Anti freeze,Anticongelante,Fluid,Líquido,machine_translated
505,Nature,2,acoustic_foil_collapses_to_correct_answer,The waterfall creates a mist.,La cascada crea una niebla.,Waterfall,Cascada,Water fall,Cascada,Feature,Característica,machine_translated
508,Nature,2,semantic_foil_collapses_to_correct_answer,The forest is home to many animals.,El bosque es el hogar de muchos animales.,Forest,Bosque,Florist,Florista,Woods,Bosque,machine_translated
511,Nature,2,acoustic_foil_collapses_to_correct_answer,The canyon walls are steep.,Las paredes del cañón son empinadas.,Canyon,Cañón,Cannon,Cañón,Gorge,Garganta,machine_translated
515,Nature,3,acoustic_foil_collapses_to_correct_answer,The volcano last erupted decades ago.,El volcán entró en erupción por última vez hace décadas.,Volcano,Volcán,Vulcano,volcán,Mountain,Montaña,machine_translated
516,Nature,2,semantic_foil_collapses_to_correct_answer,The coast stretches for miles.,La costa se extiende por millas.,Coast,Costa,Toast,Tostada,Shore,Costa,machine_translated
519,Nature,3,semantic_foil_collapses_to_correct_answer,The prairie extends to the horizon.,La pradera se extiende hasta el horizonte.,Prairie,Pradera,Parry,Parar,Grassland,Pradera,machine_translated
528,Sports,2,semantic_foil_collapses_to_correct_answer,The coach gave an inspiring speech.,El entrenador pronunció un discurso inspirador.,Coach,Entrenador,Roach,Cucaracha,Trainer,Entrenador,machine_translated
533,Sports,2,acoustic_foil_collapses_to_correct_answer,The playoffs begin next week.,Los playoffs comienzan la próxima semana.,Playoffs,Eliminatorias,Play offs,eliminatorias,Games,Juegos,machine_translated
542,Sports,2,acoustic_foil_collapses_to_correct_answer,The halftime show was entertaining.,El espectáculo del entretiempo fue entretenido.,Halftime,Medio tiempo,Half time,Medio tiempo,Show,Espectáculo,machine_translated
547,Finance,2,acoustic_foil_collapses_to_correct_answer,The deposit was processed today.,El depósito fue procesado hoy.,Deposit,Depósito,Deposit,Depósito,Payment,Pago,machine_translated
552,Finance,3,acoustic_foil_collapses_to_correct_answer,The inflation rate is rising.,La tasa de inflación está aumentando.,Inflation,Inflación,In flation,Inflación,Rate,Tasa,machine_translated
555,Finance,2,acoustic_foil_collapses_to_correct_answer,The exchange rate fluctuates daily.,El tipo de cambio fluctúa diariamente.,Exchange,Intercambio,Exchange,Intercambio,Rate,Tasa,machine_translated
591,Literature,3,acoustic_foil_collapses_to_correct_answer,The protagonist faces many challenges.,El protagonista se enfrenta a muchos desafíos.,Protagonist,Protagonista,Pro tagonist,Protagonista,Character,Personaje,machine_translated
593,Literature,3,acoustic_foil_collapses_to_correct_answer,The memoir chronicles her journey.,Las memorias narran su viaje.,Memoir,Memoria,Memory,Memoria,Book,Libro,machine_translated
599,Literature,2,acoustic_foil_collapses_to_correct_answer,The bestseller list was updated today.,La lista de los más vendidos se actualizó hoy.,Bestseller,Mejor vendido,Best seller,Mejor vendido,List,Lista,machine_translated
612,Pets,1,semantic_foil_collapses_to_correct_answer,The leash keeps the dog safe.,La correa mantiene al perro seguro.,Leash,Correa,Lease,Alquiler,Strap,Correa,machine_translated
627,Events,2,acoustic_foil_collapses_to_correct_answer,The engagement was announced yesterday.,El compromiso fue anunciado ayer.,Engagement,Compromiso,En gage ment,Compromiso,News,Noticias,machine_translated
655,Directions,2,acoustic_foil_collapses_to_correct_answer,The shortcut through the park saves about fifteen minutes.,El atajo por el parque ahorra unos quince minutos.,Shortcut,Atajo,Short cut,atajo,Detour,Desvío,machine_translated
678,Social,2,semantic_foil_collapses_to_correct_answer,It was so thoughtful of you to send those flowers.,Fue muy amable de tu parte enviar esas flores.,Thoughtful,Considerado,Thought full,Pensamiento completo,Considerate,Considerado,machine_translated
711,Outdoors,3,acoustic_foil_collapses_to_correct_answer;semantic_foil_collapses_to_correct_answer,The thunderstorm is expected to arrive by four thirty.,Se espera que la tormenta llegue a las cuatro y media.,Thunderstorm,Tormenta,Thunder storm,tormenta,Rainstorm,tormenta,machine_translated
719,Nature,4,acoustic_foil_collapses_to_correct_answer,The glacier thickness has decreased by about thirty percent.,El espesor del glaciar ha disminuido aproximadamente un treinta por ciento.,Thickness,Espesor,Thick ness,Espesor,Volume,Volumen,machine_translated
742,Art,4,acoustic_foil_collapses_to_correct_answer,The photography exhibition runs through February twenty eighth.,La exposición de fotografía estará abierta hasta el veintiocho de febrero.,February twenty eighth,veintiocho de febrero,February twenty eight,veintiocho de febrero,March twenty eighth,veintiocho de marzo,machine_translated
