source_pack_id,source_row_id,source_pack_name,difficulty,tier,position,proposed_pack_id,proposed_pack_name,proposed_target_phoneme_es,proposed_contrast_phoneme_es,clinical_goal,candidate_slot,proposed_word_1_es,proposed_word_2_es,lexical_naturalness_notes,regional_notes,approval_status
pack_s_vs_sh,drill_ssh_001,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,1,,,,,draft
pack_s_vs_sh,drill_ssh_002,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,2,,,,,draft
pack_s_vs_sh,drill_ssh_003,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,3,,,,,draft
pack_s_vs_sh,drill_ssh_004,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,4,,,,,draft
pack_s_vs_sh,drill_ssh_005,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,5,,,,,draft
pack_s_vs_sh,drill_ssh_006,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,6,,,,,draft
pack_s_vs_sh,drill_ssh_007,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,7,,,,,draft
pack_s_vs_sh,drill_ssh_008,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,8,,,,,draft
pack_s_vs_sh,drill_ssh_009,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,9,,,,,draft
pack_s_vs_sh,drill_ssh_010,Sibilants: /s/ vs /ʃ/,3,free,initial,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,10,,,,,draft
pack_s_vs_sh,drill_ssh_011,Sibilants: /s/ vs /ʃ/,3,free,final,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,11,,,,,draft
pack_s_vs_sh,drill_ssh_012,Sibilants: /s/ vs /ʃ/,3,free,final,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,12,,,,,draft
pack_s_vs_sh,drill_ssh_013,Sibilants: /s/ vs /ʃ/,3,free,final,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,13,,,,,draft
pack_s_vs_sh,drill_ssh_014,Sibilants: /s/ vs /ʃ/,3,free,final,pack_es_s_vs_tch,Fricative/Affricate: /s/ vs /tʃ/,/s/,/tʃ/,replace non-panregional /ʃ/ with a Spanish-valid high-frequency contrast,14,,,,,draft
